Video ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Response_1,Response_2,Response_3,Response_4,Response_5,Response_6,Response_7,Response_8,Response_9,Response_10,Response_11,Response_12,Response_13,Response_14,Response_15,Problem
OWtlKJbg_Pc,4,4,5,4,4,4,4,5,3,4,4,4,3,4,4, 4, 4, 5, 4, 4, 4, 4, 5, 3, 4, 4, 4, 3, 4, 4,False
95T3ABnnhOs,5,4,5,3,3,4,5,5,3,3,3,3,3,3,4, 5, 4, 5, 3, 3, 4, 5, 5, 3, 3, 3, 3, 3. The video describes how the treatment choices affect overall quality of life., 3, 4,False
n8kmsN0em90,5,5,5,5,5,5,5,5,5,5,5,3,2,5,5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3," 2. The video describes the types of enuresis and the age at which treatment should be considered. It also describes the etiology of secondary enuresis. However, it does not describe how the treatment choices affect overall quality of life.", 5, 5,False
XFitRQ9S68Q,5,4,5,3,4,3,5,5,3,3,3,3,3,3,3, 5, 4, 5, 3, 4, 3, 5, 5, 3, 3, 3, 3, 3, 3, 3,False
qhNV0YhvaNQ,5,3,5,2,3,3,3,5,2,2,2,2,1,2,2, 5," 3. The video partially achieves its aim. The video provides information about the causes of bedwetting, but it does not provide information about the prevalence of bedwetting, the age at which children should be able to control their bladder, and the diagnosis and treatment of bedwetting.", 5, 2, 3," 3. The video is partially balanced and unbiased. The video is balanced in the sense that it presents the problem of nocturnal enuresis and its causes. However, the video is not balanced in the sense that it presents the treatment options. The video is unbiased in the sense that it does not present a specific point of view."," 3. The video provides some information about the causes of bedwetting, but it does not provide information about additional sources of support and information.", 5, 2, 2, 2, 2, 1. The video does not describe how the treatment choices affect overall quality of life.," 2. The video is partially clear that there may be more than one possible treatment choice. The video mentions several treatment options, but it does not provide information on the effectiveness of each treatment option."," 2. The video provides some information about the causes of bedwetting, but it does not provide information about the options for treatment or how to make a decision about which treatment to use.",False
McNoYWn4RVs,5,5,5,3,5,4,3,5,3,4,3,2,2,3,3, 5, 5, 5," 3. The video is partially clear about the sources of information used to compile the publication. The video mentions the sources of information used to compile the publication, but it is not clear how the information was obtained from the sources.", 5, 4," 3. The video provides some information about additional sources of support and information. It mentions that the bedwetting alarm is a good option for children who are going to summer camp or a sleepover and want to avoid using a pull-up. It also mentions that the bedwetting alarm is a good option for children who are developmentally ready to engage with the alarm. However, the video does not provide information about where to find additional sources of support and information.", 5," 3. The video describes how each treatment works. It explains that medications are temporary and that alarms are more effective in the long term. It also explains how alarms work. However, it does not describe how each treatment works in detail.", 4," 3. The video describes the risks of both treatments. However, it does not describe the risks of not treating the bedwetting. The video also does not describe the risks of the bedwetting itself, such as the social and psychological impact.", 2," 2. The video describes how the treatment choices affect overall quality of life, but it does not describe the quality of life of the child or the parents. The video describes the pros and cons of the treatment options, but it does not describe how the treatment options affect the overall quality of life of the child or the parents."," 3. The video is partially clear that there may be more than one treatment choice. The video mentions two treatment options, medication and bedwetting alarm, and explains the pros and cons of each. However, the video is not clear that there are other treatment options besides medication and bedwetting alarm.", 3. The video provides some support for shared decision-making.,False
AGQUSK7YTx4,4,4,5,3,4,3,5,5,3,3,3,3,3,3,3, 4, 4, 5, 3, 4," 3. The video is balanced and unbiased. The video is not completely unbiased, but it is mostly balanced. The video is not trying to sell a product, but it is trying to help children with bedwetting. The video is not trying to convince the audience of anything, but it is trying to educate the audience. The video is not completely unbiased because it is trying to convince the audience that the treatment options are effective.", 5, 5," 3. The video describes how each treatment works. It describes the mechanism of action of DDAVP, Ditropan, Detrol, and Imipramine. It also describes how the moisture alarm works. However, it does not describe the mechanism of action of the moisture alarm."," 3. The video describes the benefits of each treatment. However, it does not describe the benefits of each treatment in detail.", 3. The video describes the risks of each treatment. The video describes the risks of the moisture alarm and medication. The risks of the moisture alarm are that it may not work for the child and the risks of medication are that it may not work for the child and that there are side effects., 3, 3. The video describes how the treatment choices affect overall quality of life. The video describes the treatment options and how they affect the child's quality of life. The video describes how the treatment options affect the child's quality of life.," 3. The video is partially clear that there may be more than one possible treatment choice. The video mentions two possible treatment choices: a moisture-sensing alarm and medication. However, the video does not clearly explain that there are other possible treatment choices."," 3. The video provides partial support for shared decision-making. The video provides information about the natural history of bedwetting and the importance of a detailed history. However, the video does not provide information about the risks and benefits of the treatment options.",False
PY5nb3RYDWg,3,3,3,3,3,3,3,5,2,3,2,3,2,3,3, 3," 3. The video explains the causes of bedwetting and the difference between primary and secondary bedwetting. It also explains the causes of secondary bedwetting. However, it does not explain the treatment options.", 3, 3, 3, 3, 3. The video provides details of additional sources of support and information. The video mentions the importance of getting the right knowledge and the right help at the right time. The video also mentions that diabetes in children is a rare cause of secondary Nocturnal Enuresis and that it is a must not to take it lightly at whatever age it is., 5," 2. The video describes the causes of bedwetting, but it does not describe how each treatment works."," 3. The video describes the benefits of each treatment. It describes the causes of bedwetting and the treatment options. However, it does not provide information on the effectiveness of each treatment option."," 2. The video describes the risk factors of bedwetting, but it does not describe the risks of each treatment."," 3. The video describes the causes of bedwetting, but it does not describe what would happen if no treatment is used."," 2. The video describes the causes of bedwetting, but it does not describe how the treatment choices affect overall quality of life.", 3. The video is clear that there may be more than one possible treatment choice. The video explains the causes of bedwetting and the difference between primary and secondary bedwetting. The video also explains the treatment options for primary and secondary bedwetting.," 3. The video provides a clear explanation of the causes of bedwetting. However, it does not provide any information on how to deal with bedwetting. It also does not provide any information on how to deal with bedwetting. It also does not provide any information on how to deal with bedwetting.",True
S-hGcEjpcJ8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5. The video describes how the treatment choices affect overall quality of life. The video describes the treatment choices and the effect on the child's life., 5, 5,False
ouUdrm-LlUc,5,5,5,5,5,5,5,5,3,5,3,3,2,5,5, 5, 5, 5, 5, 5, 5, 5, 5, 3. The video describes how each treatment works. It describes the assessment tools and the physical examination that are done to evaluate the condition. It also describes the tests that are done to rule out or confirm the diagnosis., 5," 3. The video describes the risks of each treatment. The risks are described in the context of the assessment of the child, but not in the context of the treatment. The risks are not described in a systematic way, but rather in a narrative way."," 3. The video describes the assessment of the child, but it does not describe what would happen if no treatment is used."," 2. The video describes the assessment tools for bed wetting in children, but it does not describe how the treatment choices affect overall quality of life.", 5, 5,False
A-aSE0mMsRk,3,3,5,3,3,3,3,5,2,3,3,2,2,3,2," 3. The aims of the video are partially clear. The aims are to explain the causes of bed wetting in children, teenagers and elderly women. The video is partially clear on the causes of bed wetting in children and elderly women. The causes of bed wetting in teenagers are not clear.", 3. The video achieves partially its aim., 5," 3. The video is clear that the source of information is the author's own experience. However, it is not clear whether the author is a medical doctor. The video also mentions a case study, but it is not clear whether this is a real case or a hypothetical case.", 3," 3. The video is partially balanced and unbiased. The video is balanced in the sense that the video mentions both the physical and psychological causes of bed wetting. However, the video is not balanced in the sense that the video mentions only the physical causes of bed wetting in children and the video mentions only the psychological causes of bed wetting in the elderly."," 3. The video provides information on the causes of bed wetting in children, young adults and elderly women. However, it does not provide information on the causes of bed wetting in adults. It also provides information on additional sources of support and information.", 5, 2. The video describes how bed wetting works but it does not describe how each treatment works.," 3. The video describes the benefits of two treatments for bed wetting: 1) a medical treatment for a neurological condition, and 2) a lifestyle change to improve oxygen supply to the brain. However, the video does not describe the benefits of other treatments such as behavioral therapy, pelvic floor muscle training, and bladder training."," 3. The video describes the risk of bladder over activity and psychological issues in children. It also describes the risk of stroke in elderly. However, it does not describe the risk of snoring in children and the risk of bed wetting in elderly.", 2," 2. Explanation: The video describes the causes of bed wetting in children and elderly women. However, it does not describe how the treatment choices affect overall quality of life."," 3. The video is partially clear that there may be more than one possible treatment choice. The video mentions that the underlying cause of bed wetting may be different for children, young adults and elderly women. It also mentions that there are different treatment options for bed wetting in children and elderly women. However, it does not mention that there may be different treatment options for bed wetting in young adults."," 2. Explanation: The video provides some information about the causes of bed wetting, but it is not clear how this information can be used to support shared decision-making. The video also provides information about the relationship between bed wetting and snoring, but it is not clear how this information can be used to support shared decision-making.",False
UAuZte7iYM8,5,5,5,3,5,5,3,5,3,3,3,3,2,3,3, 5, 5, 5, 3, 5, 5, 3, 5, 3, 3, 3, 3," 2. The video describes the treatment options, but it does not describe how the treatment choices affect overall quality of life."," 3. The video is clear that there may be more than one possible treatment choice. The video mentions two treatment options, medication and wetness alarm, and describes the advantages and disadvantages of each. The video also mentions that the treatment options are not mutually exclusive, and that a combination of medication and wetness alarm may be used.", 3,False
gQBt-EP8gNs,3,3,3,2,3,2,2,3,2,2,2,2,2,2,2, 3, 3, 3, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2,False
363ObJffZQc,5,5,5,5,5,5,5,5,4,4,3,3,3,5,5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 3, 3, 3, 5, 5,False
hS_CdE_yJDk,3,3,5,2,3,3,3,5,3,2,2,3,2,2,3, 3, 3, 5, 2, 3, 3, 3, 5, 3, 2, 2, 3," 2. The video describes the symptoms of the condition, but it does not describe how the treatment choices affect the overall quality of life."," 2. The video is partially clear that there may be more than one possible treatment choice. The video mentions the treatment of medication and toilet training. However, the video does not mention other treatment options such as bladder training, behavioral therapy, and psychological therapy."," 3. The video provides some support for shared decision-making. The video provides information about the condition and its treatment. However, it does not provide information about the effectiveness of the treatment options.",False
FYlEsQydfUI,5,4,5,3,4,3,5,5,3,3,3,3,3,3,4, 5, 4, 5, 3, 4, 3, 5, 5, 3, 3, 3, 3," 3. The video describes how the treatment choices affect overall quality of life. The video describes the treatment options and the impact of the treatment options on the child and the parents. However, the video does not describe the impact of the treatment options on the child's quality of life."," 3. The video is partially clear that there may be more than one possible treatment choice. The video mentions that the condition is common and that it can be familial, and it mentions that there are different treatment options, such as bed wetting alarms and limiting the amount of water the child drinks before bed. However, the video also dismisses the possibility of medication and does not mention other treatment options, such as counseling.", 4,False
z2HeopBUuP0,2,3,3,2,3,2,2,5,2,2,2,2,2,2,2, 2, 3. The video achieves partially its aim.," 3. The video is partially relevant. The video is relevant to the question of how to treat bedwetting in children or incontinence at night. However, the video does not provide sufficient information to answer the question.", 2, 3, 2," 2. The video provides some details of additional sources of support and information, but the details are not sufficient to be helpful.", 5," 2. The video describes how the treatment works for incontinence and bedwetting, but it is not clear how the treatment works.", 2, 2, 2," 2. The video describes the treatment choices, but it is not clear how the treatment choices affect overall quality of life."," 2. The video is partially clear that there may be more than one possible treatment choice. The video mentions two possible treatment choices (Bajung San and 20% for the liver) for the condition. However, the video does not clearly state that there are more than two possible treatment choices."," 2. The video provides some support for shared decision-making. The physician explains the diagnosis and treatment options, and the choice of treatment is left to the patient. However, the physician does not provide information about the risks and benefits of the treatment options, and the patient is not given the opportunity to express his or her preferences.",False
ThnGEZj_0OU,3,4,4,3,3,3,3,3,3,3,3,3,2,3,3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3,False
4YmJF178uS0,3,4,5,3,4,3,3,5,3,3,3,3,3,3,3, 3, 4, 5, 3, 4, 3, 3, 5, 3, 3, 3, 3," 3. The video describes how the treatment choices affect overall quality of life. The video describes the impact of the treatment on the child's quality of life, but it does not describe how the treatment choices affect the overall quality of life.", 3," 3. The video provides some support for shared decision-making. The video provides information about the different treatment options for bedwetting. However, it does not provide information about the risks and benefits of each treatment option, nor does it provide information about the effectiveness of each treatment option.",False
CPZKXzYAGes,5,5,5,5,5,5,3,1,2,3,2,1,1,3,3, 5," 5. The video aims to educate the audience about how to prevent bedwetting during sleepovers, camping, and vacations. The video achieves this aim by providing tips and advice on how to avoid drinking liquids before bedtime, emptying the bladder before bedtime, and avoiding excessive physical activities before sleeping. The video also encourages the audience to follow the tips to enjoy dry nights when sleeping away from home.", 5., 5. The video is clear that the source of information is the author., 5, 5," 3. The video provides some information about additional sources of support and information, but it is not comprehensive.", 1," 2. The video describes the precautions that can be taken to prevent bedwetting, but it does not describe how each treatment works.", 3. The video describes the benefits of each treatment.," 2. The video describes the risks of each treatment, but it does not describe the risks of each treatment in detail.", 1, 1. The video does not mention anything about the effect of treatment choices on overall quality of life., 3., 3. The video provides some support for shared decision-making.,False
