Video ID,Transcript,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Response_1,Response_2,Response_3,Response_4,Response_5,Response_6,Response_7,Response_8,Response_9,Response_10,Response_11,Response_12,Response_13,Response_14,Response_15,Problem,Number
OWtlKJbg_Pc,"Nocturnal Enuresis. And this is essentially defined as involuntary voiding of urine greater than twice a month at night. The cause of Nocturnal Enuresis can involve quite a few risk factors. And some of those include uncompleted toilet training, greater nighttime urine volume, difficulties in arousal from sleep. In addition, family history is actually also associated with Nocturnal Enuresis. It runs in families. One very important aspect to the etiology of Nocturnal Enuresis is sometimes there can be organic causes, medical conditions. And the two most common are diabetes and a urinary tract infection. So those two things should be explored during the diagnostic workup. And one final thing I wanted to mention is sometimes problems with anatomy can contribute. So for example, if there's a problem with the ureter or if there's a problem with the bladder sphincter, then that can also contribute. In terms of a diagnostic workup, the very first thing you need to do is obtain a good history from the patient and the parent, of course, because you're talking about children. So ask, is there any pain during urination that can help explore a urinary tract infection? Ask if there's polyuria during the day, urinating a lot during the day, that can help explore diabetes. Another thing that's very important to explore is social history. Is the child under any kind of stress? Are there problems that he or she is undergoing at school or at home? And usually there isn't too much of a diagnostic workup in terms of labs, but some basic tests that you can definitely do are a urine analysis that will help, you know, rule out a UTI. And a basic blood glucose level can help quickly explore the possibility of diabetes. In terms of treatment, the good news is that usually Nocturnal Enuresis is self-limiting. So the patient and the parent should be counseled about that. But if this is a problem that has not gone away and is becoming very troublesome, then treatment options definitely exist. And those treatment options, most effective one is interestingly a bed wetting alarm. And this alarm basically has a mechanism where it triggers whenever the bed becomes wet. And it has a 70% success rate. Now, if this has been tried and still not successful, then definitely medications can be used. And if meds are needed, there's two that are used. The first one is called Desmopressin. Now Desmopressin essentially is ADH, antidiuretic hormone. It brings water back. Instead of urinating the water out, the water is brought back into the bloodstream. That's essentially what the mechanism of action of antidiuretic hormone is. The next medication that's used is Imipramine. And Imipramine is used definitely to treat Nocturnal Enuresis, but you have to be careful because it has some serious side effects. And one of those side effects is that it can cause cardiac arrhythmias. So now let's take a look at a few vignettes. A five-year-old boy is brought to the office by his mother because of recurrence of bed wetting at night. He has a three-month-old sister who is healthy. Physical exam is normal. A urine analysis shows specific gravity of 1.01, glucose is negative, protein negative. Microscopic shows 0 to 1 WBCs per high-powered field and 0 RBCs per high-powered field. Which of the following is the most important information to share with his parents? Well, of these answer choices, let's take a look. This condition will see that they reprimand him for deliberately wetting the bed. Probably not a good thing to say to a five-year-old boy. This condition is self-limiting and they should take care to lessen the emotional impact on their child. That's a good option, we'll keep that. This is a potentially serious problem and could represent chronic inflammation of the kidneys. Not necessarily true. This may be a precursor of diabetes. That's not true. And this signifies a serious underlying emotional disorder. Not necessarily a serious. What's probably happened, we don't really know. But perhaps the birth of a sister recently has caused a little bit of stress and he's wetting the bed. So the best choice is B. Next question. An eight-year-old boy is brought to CU because of his parents being concerned about his lifelong history of bedwetting at night. This behavior occurs an average of five or six times per week. However, he does not have any daytime wetting or incontinence. His parents have tried several tactics to stop his behavior, including fluid restriction, night awakening, and rewards for dry nights. But the behavior has continued. The boy has had no medical problems and is doing well in school and with his friends. His physical exam is normal. Which of the following diagnostic and therapeutic strategies is most reasonable? Well, let's go through these. No further studies in the trial of imipramine. Imipramine can be used, but there's one thing that you should try before you go to meds. IV pyelogram, nah, not really needed. Reassurance that he will grow out of this behavior. This is a good choice, but the problem is that he's going on for so long, something needs to be done. Lifelong history is obviously very serious, so I'm not going to choose C. UA and the use of moisture sensitive alarm at night. Yes, this is the best effective treatment for Nocturnal Enuresis. And U.N. trial of imipramine, again, imipramine can be used if choice D is not successful. And then finally, a two year old boy is brought to the emergency department because of increasing and profound lethargy during the past four hours. The past medical history is unremarkable. However, a seven year old brother who is a bedwitter has an upper respiratory infection. There have been no other contacts with individuals who are sick. On physical exam, the child's temperature is 99 and he is noted to be hypotensive. There is no history or evidence of trauma. Cardiac monitor demonstrates a ventricular dysrhythmia and the child begins to have a seizure. Which of the following is most likely cause for this child's problem? Okay, well, a little complicated there, but what's probably happened is you have a seven year old brother who has a bedwitter. That seven year old is on imipramine. And what's probably happened is this two year old boy has ingested that imipramine. And that has resulted in one of the more common side effects of imipramine, which is a cardiac arrhythmia. So the cause for this child, the two year old, having this dysrhythmia and of course even later the seizure is imipramine.",5,5,5,1,5,5,1,2,5,5,5,1,2,5,1," 5
Explanation: The aims of the video are clear. The video provides a comprehensive overview of Nocturnal Enuresis, including its definition, causes, diagnostic workup, and treatment options. The video also includes vignettes to illustrate the application of this knowledge. The speaker is clear and concise, and the information is well-organized and easy to follow."," 5
Explanation: The video is a comprehensive and detailed explanation of Nocturnal Enuresis, its causes, diagnostic workup, and treatment options. It also includes vignettes to illustrate the application of the knowledge. The video achieves its aim of educating the viewer about Nocturnal Enuresis."," 5
Explanation: The video is highly relevant as it provides a comprehensive overview of Nocturnal Enuresis, including its definition, causes, diagnostic workup, and treatment options. The video also discusses potential complications and provides case studies for further understanding. The language used is clear and professional, making it a valuable resource for medical professionals or anyone interested in learning about Nocturnal Enuresis."," 1
Explanation: The video does not mention any sources of information used to compile the publication, other than the author. Therefore, the score is 1."," 5
Explanation: The transcript is clear and provides detailed information about Nocturnal Enuresis, including its definition, risk factors, diagnostic workup, and treatment options. The speaker also provides a case study to illustrate the condition and its management. The information is well-organized and easy to follow, making it a clear and comprehensive resource for understanding Nocturnal Enuresis."," 5
Explanation: The video is balanced and unbiased as it provides a comprehensive overview of nocturnal enuresis, including its definition, risk factors, diagnostic workup, and treatment options. The speaker presents the information in a neutral and factual manner, without expressing any personal opinions or biases. The video also includes a discussion of potential organic causes of nocturnal enuresis, such as diabetes and urinary tract infections, and provides examples of diagnostic tests that can be used to rule out these conditions. The speaker also mentions the potential side effects of certain medications used to treat nocturnal enuresis, such as imipramine, and emphasizes the importance of counseling patients and parents about the self-limiting nature of the condition. Overall, the video provides a well-rounded and unbiased perspective on nocturnal enuresis."," 1
Explanation: The video does not provide any details of additional sources of support and information. It only discusses the medical aspects of Nocturnal Enuresis, including its definition, causes, diagnostic workup, and treatment options. It does not mention any resources, such as websites, hotlines, or support groups, that patients and their families can use to learn more about the condition or seek help."," 2
Explanation: The video does not explicitly refer to areas of uncertainty. However, it does mention that the cause of Nocturnal Enuresis can involve quite a few risk factors, which could imply some level of uncertainty. Additionally, the video mentions that the patient and the parent should be counseled about the self-limiting nature of Nocturnal Enuresis, which could also suggest some level of uncertainty. However, the video does not explicitly state that there is uncertainty in these areas. Therefore, a score of 2 is appropriate."," 5
Explanation: The video provides a comprehensive explanation of the treatments for Nocturnal Enuresis, including bed wetting alarms and medications such as Desmopressin and Imipramine. It also discusses the mechanism of action of these treatments, making it clear how each treatment works. Therefore, the score is 5, indicating that the video does describe how each treatment works."," 5
Explanation: The video provides a comprehensive overview of Nocturnal Enuresis, including its causes, diagnostic workup, and treatment options. It discusses the benefits of each treatment, such as the 70% success rate of bed wetting alarms and the mechanisms of action of Desmopressin and Imipramine. The video also emphasizes the importance of counseling patients and parents about the self-limiting nature of Nocturnal Enuresis. Therefore, the video fully describes the benefits of each treatment, earning a score of 5."," 5
Explanation: The video provides a comprehensive overview of the risks associated with each treatment for Nocturnal Enuresis. It discusses the potential side effects of Desmopressin and Imipramine, including cardiac arrhythmias. It also mentions the potential risks of fluid restriction and night awakening as tactics to stop bedwetting. The video also discusses the importance of obtaining a good history from the patient and the parent, and exploring social history to rule out any potential underlying medical conditions or stressors that may be contributing to the Nocturnal Enuresis. Overall, the video provides a thorough and accurate description of the risks associated with each treatment for Nocturnal Enuresis."," 1
Explanation: The video does not describe what would happen if no treatment is used for Nocturnal Enuresis. Instead, it focuses on the causes, diagnosis, and treatment options for the condition."," 2
Explanation: The video does not directly discuss how the treatment choices affect overall quality of life. It mainly focuses on the causes, diagnosis, and treatment options for Nocturnal Enuresis. However, it does mention that Nocturnal Enuresis is self-limiting and that the patient and parent should be counseled about this, which could indirectly impact the overall quality of life. It also discusses the side effects of Imipramine, which could potentially impact the quality of life. Therefore, the score is 2, indicating a partial discussion of the topic."," 5
Explanation: The video clearly mentions multiple treatment options for Nocturnal Enuresis, including a bed wetting alarm, Desmopressin, and Imipramine. It also emphasizes that the condition is usually self-limiting and counseling should be provided to the patient and parents."," 1
Explanation: The video does not provide support for shared decision-making. It is a lecture-style video that provides information about nocturnal enuresis, its causes, diagnosis, and treatment options. However, it does not involve the patient or their family in the decision-making process, nor does it discuss the benefits and harms of different treatment options or the patient's preferences and values.",set(),1
95T3ABnnhOs,"Even after toilet training, it's not uncommon for a child to occasionally wet his or her bed at night. But for parents like Ted and Lisa Dittmeyer, it can be frustrating. At age three, their daughter Michaela was a frequent bed wetter. When she was wetting her bed every night, it was very aggravating. I had to change the sheets every day. I had to wash the sheets every morning, put them back on the bed every day. It was very time consuming and it got very old. And worrisome. Is she all done? Yeah. In the beginning, Ted and Lisa were very concerned about their daughter's condition, but they informed her pediatrician and were relieved to learn that it's very common for children Michaela's age to wet the bed. Bedwetting is so common that in young children we don't even consider it a disorder of any kind. So for example, 10% of five-year-olds wet the bed on a regular basis. I wouldn't consider that an abnormality and in fact I don't make any interventions in younger children who are wetting the bed. It's nice to hear that Michaela isn't the only one with the problem. It was nice to be reassured by their pediatrician that there's other children with the same problem. What causes a child to wet his or her bed? There may be a number of factors, including a small bladder capacity, genetic factors, a urinary tract infection, and even emotional stress. But the primary and most common cause of bedwetting is difficulty waking. A child's body is not yet trained to recognize the signs of a full bladder, so the child simply won't wake up when it's time to go to the bathroom. Some studies show that children wet the bed during all different stages of sleep. But children who sleep very deeply, particularly children for example who've just given up their nap so they're sleeping very deeply, are not aware on any level of the contractions of the bladder. What can be done? Ted and Lisa find that waking Michaela up to use the bathroom three hours after she goes to sleep helps reduce the number of wet nights. Good job. I try to do my part and help out with Michaela's problem by waking her up in the middle of the night if my wife is too tired and taking her to the bathroom. It's kind of a bonding experience there and it's nice that we can have that time together. For some children, avoiding liquids late at night and using the restroom before bedtime can help. But that's usually not enough to solve the problem altogether. Until bedwetting stops, there are a few easy steps parents can take to help their children feel more comfortable. They can protect beds with fitted plastic mattress covers used with overlay pads for absorption, provide children with protective undergarments, read books on bedwetting to them, have clean pajamas ready and waiting for them, and encourage them to help change the sheets and remake the bed. This can help give a child a sense of control and make him or her feel like a big boy or girl. Lisa says that family support is also imperative. The other children in the house do not tease her at all. We have made it a point to instruct them not to tease her about the bedwetting and they've been very supportive about that. The whole family has been very supportive with Michaela's problem. As a matter of fact, my oldest daughter, Deanna, helps Michaela out a lot in the morning. She'll take her to the bathroom, make sure she goes to the bathroom again, undress her, take off her wet clothes, and clean her up and get her ready for the day. Family support is very important with a bedwetting problem. It helps me, it relieves my stress, and it enables Michaela not to feel inadequate in a sense. Often, the only real complication of bedwetting is the embarrassment the child feels for having done it. To help minimize these feelings, explain to her that bedwetting is not her fault and that lots of kids her age do it, and never punish her for having made a mistake. I think the most important thing to remember about bedwetting is that this is something children will outgrow so that it won't harm them in the long term unless it's made into a big issue in the family that makes them feel ashamed or belittled or makes them feel as though there's something wrong with them. So it's important to help children feel like they're okay, this is just part of the normal development. Little bodies need time to mature to the point where they can actually get up and go when they need to. It's starting to happen for Michaela. One time at night, she walked into my room and she said, Mommy, I just went to the potty. And she realized she had to go to the bathroom, and she got up herself and went to the bathroom.",5,5,1,1,5,5,1,2,1,1,1,5,1,5,5," 5
Explanation: The aims of the video are clear. The video aims to inform parents about bedwetting in children, its causes, and how to manage it. The video also aims to reassure parents that bedwetting is a common issue and not a cause for concern. The video achieves these aims by providing information about bedwetting, its causes, and management strategies, as well as by sharing the experiences of a family dealing with bedwetting. The video also provides reassurance by stating that bedwetting is common and not a disorder in young children."," 5
Explanation: The video achieves its aims by providing a comprehensive overview of bedwetting in young children, including its commonality, causes, and potential solutions. The video also emphasizes the importance of family support and reassurance for the child, which is crucial in managing the emotional impact of bedwetting. The video is informative, reassuring, and practical, making it a valuable resource for parents dealing with this issue."," 1
Explanation: The video is not relevant to medical expertise as it discusses a common childhood issue, bedwetting, which is not considered a medical disorder in young children. The video provides information on the causes and management of bedwetting, but it does not discuss any medical interventions or treatments. The video is more focused on providing reassurance to parents and offering practical advice for managing bedwetting at home."," 1
Explanation: The video does not explicitly mention any sources of information used to compile the publication, other than the author. It primarily relies on the personal experiences and opinions of the parents and the pediatrician, without citing any specific studies, articles, or medical guidelines. Therefore, it is not clear what sources of information were used to compile the publication."," 5
Explanation: The video is clear when the information used or reported in the transcript was produced. The information provided in the transcript is accurate and up-to-date, as it reflects current medical knowledge about bedwetting in children. The video discusses the commonality of bedwetting in young children, the possible causes, and various strategies to help manage the issue. The video also emphasizes the importance of family support and reassurance for the child. The information is presented in a clear and concise manner, making it easy for viewers to understand."," 5
Explanation: The video is balanced and unbiased as it presents information about bedwetting in a neutral and factual manner. It provides statistics, possible causes, and potential solutions for bedwetting, without favoring any particular viewpoint or treatment. The video also includes personal experiences from a family dealing with bedwetting, which adds a relatable perspective without introducing bias."," 1
Explanation: The video does not provide any details of additional sources of support and information. It only discusses the causes, effects, and possible solutions for bedwetting in children. It does not mention any websites, helplines, or organizations that can provide further support and information on the topic."," 2
Explanation: The video does not directly refer to areas of uncertainty. However, it does mention that there may be a number of factors causing bedwetting, including a small bladder capacity, genetic factors, a urinary tract infection, and emotional stress. This suggests that the exact cause of bedwetting in a particular child may not always be clear, which could be considered a form of uncertainty. However, since the video does not explicitly discuss this as an area of uncertainty, a score of 2 is appropriate."," 1
Explanation: The video does not describe how each treatment works. It only mentions a few strategies to help reduce the number of wet nights, such as waking the child up to use the bathroom, avoiding liquids late at night, and using the restroom before bedtime. However, it does not provide detailed information on how these treatments work or their effectiveness. Additionally, the video discusses protective measures like using fitted plastic mattress covers and providing children with protective undergarments, but these are not treatments for bedwetting."," 1
Explanation: The video does not describe the benefits of each treatment for bedwetting. It only mentions a few strategies that parents can use to help their children feel more comfortable, such as protecting beds with fitted plastic mattress covers, providing children with protective undergarments, and encouraging them to help change the sheets and remake the bed. However, it does not provide any information on the benefits of these treatments or how they can help children overcome bedwetting. Additionally, the video does not discuss any medical treatments for bedwetting, such as medication or behavioral therapy. Therefore, the video does not meet the criteria for a score of 5, which would indicate that it describes the benefits of each treatment."," 1
Explanation: The video does not describe the risks of each treatment. It only mentions a few strategies to help reduce the number of wet nights, such as waking the child up to use the bathroom, avoiding liquids late at night, and using the restroom before bedtime. However, it does not discuss any potential risks or side effects of these strategies. Additionally, the video does not mention any medical treatments for bedwetting, such as medication or bedwetting alarms, and therefore does not discuss the risks of these treatments either."," 5
Explanation: The video does describe what would happen if no treatment is used for bedwetting in children. It explains that bedwetting is common in young children and is not considered a disorder. The primary cause of bedwetting is difficulty waking, as a child's body is not yet trained to recognize the signs of a full bladder. The video also mentions that some children wet the bed during all different stages of sleep, particularly those who sleep very deeply. The video suggests that avoiding liquids late at night and using the restroom before bedtime can help, but that this is usually not enough to solve the problem altogether. The video also provides tips for parents to help their children feel more comfortable, such as protecting beds with fitted plastic mattress covers and providing children with protective undergarments. The video emphasizes that family support is important and that children will outgrow bedwetting as their bodies mature."," 1
Explanation: The video does not describe how the treatment choices affect overall quality of life. It mainly focuses on the causes of bedwetting and some general tips for managing it, but it does not discuss the impact of these treatments on the child's or family's quality of life."," 5
Explanation: The video is clear that there may be more than one possible treatment choice for bedwetting in children. It mentions several potential causes of bedwetting, including a small bladder capacity, genetic factors, a urinary tract infection, and emotional stress, but it primarily focuses on difficulty waking as the most common cause. The video also discusses several possible interventions for bedwetting, such as waking the child up to use the bathroom, avoiding liquids late at night, using the restroom before bedtime, protecting beds with fitted plastic mattress covers and overlay pads, providing children with protective undergarments, reading books on bedwetting to them, having clean pajamas ready, and encouraging them to help change the sheets and remake the bed. The video also emphasizes the importance of family support and minimizing feelings of embarrassment in the child. Overall, the video is clear that there are multiple possible treatment choices for bedwetting in children."," 5
Explanation: The video provides support for shared decision-making by presenting information about bedwetting in children, including its commonality, causes, and potential solutions. The video also includes the perspectives of parents and a pediatrician, which can help parents make informed decisions about how to address bedwetting in their own children. The video emphasizes the importance of family support and avoiding punishment or shame, which aligns with the principles of shared decision-making.",set(),2
n8kmsN0em90,"Enuresis is intermittent nighttime incontinence in a child who is aged 5 or older. There are two types of enuresis: Primary and Secondary. Primary Nocturnal Enuresis is by far the most common type. It is urination at night, during sleep, in a child aged 5 or older who has not yet attained bladder control. It is often due to a delay in maturation of bladder control or due to a developmental disorder. This type is more common in boys and it usually resolves on its own. Because most cases resolve spontaneously, the treatment for primary nocturnal enuresis should not be considered until the child is 7 years of age. Secondary Nocturnal Enuresis is involuntary passage of urine in children who have previously achieved bladder control. This secondary loss of bladder control can be due to an underlying organic disease process (such as a urinary tract infection or diabetes) or it can be because of psychological stressors (such as birth of a sibling, school problems, and family discord). Diurnal Incontinence (loss of bladder control during waking hours) is often associated with enuresis and nearly 80% of these children lose control at night. Treatment of enuresis depends on the type and etiology. For most cases, reassurance is enough, as some children will outgrow the problem. Sometimes, behavioural modifications, enuresis alarms, or medications can be used. If incontinence is secondary to another pathology, treating the underlying cause will resolve symptoms.",5,5,5,1,5,5,1,2,2,2,2,5,2,5,1," 5
Explanation: The aims of the video are clear. The video provides a comprehensive overview of enuresis, including its types, causes, and treatment options. It also distinguishes between primary and secondary nocturnal enuresis, and discusses the role of psychological stressors and underlying organic disease processes. The video is informative and well-structured, making it easy for viewers to understand the topic."," 5
Explanation: The video achieves its aims as it provides a comprehensive overview of enuresis, including its types, causes, and treatment options. It also discusses the prevalence and natural history of the condition, which can help reassure parents and caregivers. The video is clear, concise, and informative, making it a valuable resource for anyone seeking to understand enuresis."," 5
Explanation: The video is highly relevant as it provides a comprehensive overview of enuresis, including its types, causes, and treatment options. It covers both primary and secondary nocturnal enuresis, as well as diurnal incontinence, and discusses potential underlying causes and treatment approaches. This information is directly relevant to the topic of enuresis and its management."," 1
Explanation: The transcript does not mention any sources of information used to compile the publication. It only provides information about enuresis, its types, and treatment options."," 5
Explanation: The transcript is clear and provides a comprehensive overview of enuresis, including its types, causes, and treatment. The information is well-organized and easy to understand, making it clear when the information was produced. The transcript also includes specific details, such as the age at which treatment for primary nocturnal enuresis should be considered and the percentage of children with diurnal incontinence who also lose control at night. These details add to the clarity of the transcript and make it easy to understand when the information was produced."," 5
Explanation: The transcript is balanced and unbiased as it provides a comprehensive overview of enuresis, including its types, causes, and treatment options. It does not favor any particular treatment or perspective, and it acknowledges that most cases resolve spontaneously. The transcript also mentions that treatment depends on the type and etiology of enuresis, which further demonstrates its balanced approach."," 1
Explanation: The transcript does not provide any details of additional sources of support and information. It only provides a general overview of enuresis, its types, and treatment options. It does not mention any specific resources, such as websites, books, or support groups, that viewers can refer to for further information or support."," 2
Explanation: The transcript provides a clear and comprehensive explanation of enuresis, its types, and treatment options. However, it does not explicitly refer to areas of uncertainty. The transcript mentions that the cause of primary nocturnal enuresis is often due to a delay in maturation of bladder control or a developmental disorder, but it does not discuss the uncertainty around the exact cause or the best treatment approach for individual cases. Similarly, the transcript mentions that secondary nocturnal enuresis can be due to an underlying organic disease process or psychological stressors, but it does not discuss the uncertainty around the exact cause or the best treatment approach for individual cases. Therefore, the transcript partially refers to areas of uncertainty, but it does not explicitly discuss them."," 2
Explanation: The transcript provides a general overview of enuresis and its types, but it does not describe how each treatment works. It mentions that behavioural modifications, enuresis alarms, or medications can be used, but it does not explain how these treatments work or what they entail. Therefore, the score is 2, indicating that the transcript partially describes how each treatment works."," 2
Explanation: The transcript does not provide a detailed description of the benefits of each treatment for enuresis. It only mentions that reassurance, behavioural modifications, enuresis alarms, or medications can be used, but it does not explain the specific benefits of each treatment. Therefore, the score is 2, which means 'partially.'"," 2
Explanation: The transcript does mention different types of enuresis and their possible treatments, but it does not explicitly discuss the risks associated with each treatment. Therefore, it only partially addresses the question."," 5
Explanation: The transcript clearly describes what would happen if no treatment is used for both primary and secondary nocturnal enuresis. For primary nocturnal enuresis, it states that most cases resolve spontaneously and treatment should not be considered until the child is 7 years of age. For secondary nocturnal enuresis, it mentions that reassurance is enough for most cases and some children will outgrow the problem. Therefore, it is clear that the transcript describes what would happen if no treatment is used."," 2
Explanation: The transcript provides a detailed description of enuresis, its types, and possible treatment options. However, it does not explicitly discuss how these treatment choices affect the overall quality of life. Therefore, it only partially addresses the question."," 5
Explanation: The transcript clearly states that the treatment of enuresis depends on the type and etiology, and lists several possible treatment options, including reassurance, behavioural modifications, enuresis alarms, and medications. It also mentions that treating the underlying cause will resolve symptoms if incontinence is secondary to another pathology. This indicates that there may be more than one possible treatment choice, depending on the individual case."," 1
Explanation: The transcript does not provide support for shared decision-making. It is a one-way communication that only provides information about enuresis, its types, and treatment options. It does not involve the patient or their family in the decision-making process, nor does it discuss the benefits and risks of each treatment option.",set(),3
XFitRQ9S68Q,"There are two very common drugs that are used, one is called desmopressin and the other is called oxybutynin. Desmopressin acts like the anti diuretic hormone I've mentioned in the past. The whole idea of this drug is to try and reduce the amount of urine that the kidneys are producing overnight and it can be taken either as a tablet or slipped under the tongue as a little melt just before going to bed. It’s started at a low dose and if there’s no benefit after a few weeks then the dose can be increased to see if that helps. In general desmopressin is a very safe drug to take, it doesn't cause very many side effects. But like all medications there's a very small number of young people who may complain of some nausea, vomiting or loss of concentration amongst other things whenever they're taking the desmopressin. If you're worried about any new signs or symptoms that develop after your young person starts taking it you should just have a chat to your family doctor about it. If the young person who's taking desmopressin starts to have any vomiting or diarrhoea it's important that you don't give the desmopressin during this period of time because that can cause problems with the fluid in the body and problems with the salts in the body. Oxybutynin is another very common medication that's used to try and help young people with bedwetting and oxybutynin acts like a relaxant for the bladder, it chills the bladder out. It's mainly used to try and treat the overactive bladder that we see a lot in young people and if that's present at night that can cause the bladder to squeeze down and make the young person wet the bed and again it can be started at a low dose and the dose increased if there's no benefit to it. Again it can cause problems such as nausea, vomiting, loss of concentration, change of mood. And again if you're worried about any new symptoms that develop after your young person starts to take oxybutynin then it's worthwhile having a chat to your family doctor about this. Bedwetting is such a common problem in young people that NICE (the National Institute for Health and Care Excellence) have developed a guideline which should be used nationally, so it doesn't matter if you go to see your family doctor in London or somebody in the north of the country, they should be able to follow these guidelines. NICE suggest that you can try either the desmopressin or the oxybutynin as the first line treatment. If the drug that you're given doesn't work you should then try the other drug, so if you've tried desmopressin and that hasn't worked then you should try oxybutynin and vice versa and if you find that desmopressin and oxybutinin on their own have both failed, then the next step is a trial of both drugs together. If desmopressin and oxybutynin together don't work then there is another drug called imipramine that can be used to try and help bedwetting. But by the time that you're getting onto using imipramine it doesn't have a high success rate, but it does work in some young people and if you warrant trying imipramine, your doctor will discuss this with you.",5,5,5,5,5,5,1,1,5,5,2,1,2,5,3," 5
Explanation: The aims of the video are clear. The video discusses two common drugs used to treat bedwetting in young people: desmopressin and oxybutynin. It explains how these drugs work, their potential side effects, and how they are administered. The video also mentions a guideline developed by NICE for treating bedwetting and suggests a course of action if these drugs do not work. The video is informative and provides clear and concise information about the drugs and their use in treating bedwetting."," 5
Explanation: The video achieves its aims by providing a comprehensive overview of the two common drugs used to treat bedwetting in young people, desmopressin and oxybutynin. It explains their mechanisms of action, dosage, potential side effects, and how they are used in conjunction with each other. The video also references the NICE guidelines, which are used nationally to guide the treatment of bedwetting. The video is clear, concise, and informative, making it a valuable resource for those seeking information on the treatment of bedwetting."," 5
Explanation: The video is highly relevant as it discusses two common drugs used to treat bedwetting in young people, desmopressin and oxybutynin. It provides detailed information about their mechanisms of action, dosage, potential side effects, and how they are used in accordance with NICE guidelines. The video also mentions a third drug, imipramine, as a potential treatment option if the first two drugs are ineffective. This comprehensive discussion of medications for bedwetting makes the video highly relevant to the topic."," 5
Explanation: The video clearly mentions the sources of information used to compile the publication. It refers to the National Institute for Health and Care Excellence (NICE) and their guideline for treating bedwetting in young people. It also mentions specific drugs used to treat bedwetting, such as desmopressin, oxybutynin, and imipramine. The video also provides information on how these drugs work, their potential side effects, and how they should be used. Therefore, the video is clear about the sources of information used to compile the publication."," 5
Explanation: The transcript is clear when the information used or reported in the transcript was produced. The speaker provides detailed information about two common drugs used to treat bedwetting in young people, desmopressin and oxybutynin, including their mechanisms of action, dosage, potential side effects, and how they are used in combination. The speaker also mentions a guideline developed by NICE (the National Institute for Health and Care Excellence) for the treatment of bedwetting in young people, which suggests trying either desmopressin or oxybutynin as the first line treatment, and then trying the other drug if the first one does not work. If both drugs fail, the next step is a trial of both drugs together. If desmopressin and oxybutynin together do not work, there is another drug called imipramine that can be used, although it does not have a high success rate. The speaker's language is clear and concise, and the information provided is accurate and up-to-date."," 5
Explanation: The video is balanced and unbiased as it presents two common drugs used to treat bedwetting, desmopressin and oxybutynin, in a neutral manner. It provides information on the mechanism of action, dosage, potential side effects, and the recommended course of treatment according to NICE guidelines. The video also mentions a third drug, imipramine, as a potential treatment option if the first two drugs fail. The video does not favor one drug over the other and presents the information in a clear and concise manner."," 1
Explanation: The transcript does not provide any details of additional sources of support and information. It only discusses the medications used to treat bedwetting and their potential side effects. It does not mention any websites, helplines, support groups, or other resources that could provide further information or assistance to viewers."," 1
Explanation: The video does not refer to areas of uncertainty. It provides a clear explanation of two common drugs used to treat bedwetting in young people, desmopressin and oxybutynin, and their potential side effects. It also mentions a guideline developed by NICE for the treatment of bedwetting, which suggests trying either desmopressin or oxybutynin as the first line treatment, and if that does not work, trying the other drug. If both drugs fail, a trial of both drugs together is suggested. If desmopressin and oxybutynin together do not work, another drug called imipramine can be used, although it does not have a high success rate. The video does not express any uncertainty about the effectiveness of these drugs or the recommended treatment approach."," 5
Explanation: The transcript provides a detailed explanation of how each treatment works. It describes desmopressin as acting like the anti-diuretic hormone to reduce the amount of urine produced overnight, and oxybutynin as a relaxant for the bladder to treat overactive bladder. It also mentions the potential side effects and the process of increasing dosage if there is no initial benefit. Therefore, it fully answers the question and deserves a score of 5."," 5
Explanation: The transcript provides a detailed description of the benefits of each treatment. Desmopressin is described as reducing the amount of urine produced overnight, and oxybutynin is described as a relaxant for the bladder that can help treat an overactive bladder. The transcript also mentions that both drugs can be started at a low dose and increased if there is no benefit, and that they are generally safe to take with few side effects. The transcript also mentions that if one drug does not work, the other can be tried, and that if both drugs do not work on their own, they can be used together. This indicates that the transcript provides a comprehensive description of the benefits of each treatment."," 2
Explanation: The video does mention some potential side effects of the treatments, such as nausea, vomiting, loss of concentration, and change of mood. However, it does not provide a comprehensive list of risks or potential complications associated with each treatment. Therefore, it only partially describes the risks of each treatment."," 1
Explanation: The transcript does not describe what would happen if no treatment is used. It only discusses the different types of treatments available for bedwetting, their side effects, and how they should be used. It does not provide any information on the natural progression of bedwetting if left untreated."," 2
Explanation: The video provides a detailed description of the treatment choices for bedwetting, including the medications desmopressin and oxybutynin. However, it does not explicitly discuss how these treatment choices affect overall quality of life. Therefore, the score is 2, indicating a partial description of the impact of treatment choices on quality of life."," 5
Explanation: The video clearly states that there are two common drugs used for treating bedwetting, desmopressin and oxybutynin, and that if one does not work, the other should be tried. It also mentions a third drug, imipramine, that can be used if the first two fail. This indicates that there may be more than one possible treatment choice."," 3
Explanation: The video provides some information about the medications used to treat bedwetting, including their mechanisms of action, dosage, and potential side effects. However, it does not explicitly discuss shared decision-making or involve the patient in the decision-making process. The video mentions that NICE guidelines should be followed, but it does not explain how these guidelines can be used to facilitate shared decision-making. Therefore, the video only partially supports shared decision-making.",set(),4
