Video ID,Transcript,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Response_1,Response_2,Response_3,Response_4,Response_5,Response_6,Response_7,Response_8,Response_9,Response_10,Response_11,Response_12,Response_13,Response_14,Response_15,Problem,Number
OWtlKJbg_Pc,"Nocturnal Enuresis. And this is essentially defined as involuntary voiding of urine greater than twice a month at night. The cause of Nocturnal Enuresis can involve quite a few risk factors. And some of those include uncompleted toilet training, greater nighttime urine volume, difficulties in arousal from sleep. In addition, family history is actually also associated with Nocturnal Enuresis. It runs in families. One very important aspect to the etiology of Nocturnal Enuresis is sometimes there can be organic causes, medical conditions. And the two most common are diabetes and a urinary tract infection. So those two things should be explored during the diagnostic workup. And one final thing I wanted to mention is sometimes problems with anatomy can contribute. So for example, if there's a problem with the ureter or if there's a problem with the bladder sphincter, then that can also contribute. In terms of a diagnostic workup, the very first thing you need to do is obtain a good history from the patient and the parent, of course, because you're talking about children. So ask, is there any pain during urination that can help explore a urinary tract infection? Ask if there's polyuria during the day, urinating a lot during the day, that can help explore diabetes. Another thing that's very important to explore is social history. Is the child under any kind of stress? Are there problems that he or she is undergoing at school or at home? And usually there isn't too much of a diagnostic workup in terms of labs, but some basic tests that you can definitely do are a urine analysis that will help, you know, rule out a UTI. And a basic blood glucose level can help quickly explore the possibility of diabetes. In terms of treatment, the good news is that usually Nocturnal Enuresis is self-limiting. So the patient and the parent should be counseled about that. But if this is a problem that has not gone away and is becoming very troublesome, then treatment options definitely exist. And those treatment options, most effective one is interestingly a bed wetting alarm. And this alarm basically has a mechanism where it triggers whenever the bed becomes wet. And it has a 70% success rate. Now, if this has been tried and still not successful, then definitely medications can be used. And if meds are needed, there's two that are used. The first one is called Desmopressin. Now Desmopressin essentially is ADH, antidiuretic hormone. It brings water back. Instead of urinating the water out, the water is brought back into the bloodstream. That's essentially what the mechanism of action of antidiuretic hormone is. The next medication that's used is Imipramine. And Imipramine is used definitely to treat Nocturnal Enuresis, but you have to be careful because it has some serious side effects. And one of those side effects is that it can cause cardiac arrhythmias. So now let's take a look at a few vignettes. A five-year-old boy is brought to the office by his mother because of recurrence of bed wetting at night. He has a three-month-old sister who is healthy. Physical exam is normal. A urine analysis shows specific gravity of 1.01, glucose is negative, protein negative. Microscopic shows 0 to 1 WBCs per high-powered field and 0 RBCs per high-powered field. Which of the following is the most important information to share with his parents? Well, of these answer choices, let's take a look. This condition will see that they reprimand him for deliberately wetting the bed. Probably not a good thing to say to a five-year-old boy. This condition is self-limiting and they should take care to lessen the emotional impact on their child. That's a good option, we'll keep that. This is a potentially serious problem and could represent chronic inflammation of the kidneys. Not necessarily true. This may be a precursor of diabetes. That's not true. And this signifies a serious underlying emotional disorder. Not necessarily a serious. What's probably happened, we don't really know. But perhaps the birth of a sister recently has caused a little bit of stress and he's wetting the bed. So the best choice is B. Next question. An eight-year-old boy is brought to CU because of his parents being concerned about his lifelong history of bedwetting at night. This behavior occurs an average of five or six times per week. However, he does not have any daytime wetting or incontinence. His parents have tried several tactics to stop his behavior, including fluid restriction, night awakening, and rewards for dry nights. But the behavior has continued. The boy has had no medical problems and is doing well in school and with his friends. His physical exam is normal. Which of the following diagnostic and therapeutic strategies is most reasonable? Well, let's go through these. No further studies in the trial of imipramine. Imipramine can be used, but there's one thing that you should try before you go to meds. IV pyelogram, nah, not really needed. Reassurance that he will grow out of this behavior. This is a good choice, but the problem is that he's going on for so long, something needs to be done. Lifelong history is obviously very serious, so I'm not going to choose C. UA and the use of moisture sensitive alarm at night. Yes, this is the best effective treatment for Nocturnal Enuresis. And U.N. trial of imipramine, again, imipramine can be used if choice D is not successful. And then finally, a two year old boy is brought to the emergency department because of increasing and profound lethargy during the past four hours. The past medical history is unremarkable. However, a seven year old brother who is a bedwitter has an upper respiratory infection. There have been no other contacts with individuals who are sick. On physical exam, the child's temperature is 99 and he is noted to be hypotensive. There is no history or evidence of trauma. Cardiac monitor demonstrates a ventricular dysrhythmia and the child begins to have a seizure. Which of the following is most likely cause for this child's problem? Okay, well, a little complicated there, but what's probably happened is you have a seven year old brother who has a bedwitter. That seven year old is on imipramine. And what's probably happened is this two year old boy has ingested that imipramine. And that has resulted in one of the more common side effects of imipramine, which is a cardiac arrhythmia. So the cause for this child, the two year old, having this dysrhythmia and of course even later the seizure is imipramine.",5,5,5,2,5,5,2,2,5,4,2,2,2,5,3," 5Explanation: The aims of the video are clear. The video provides an explanation of Nocturnal Enuresis, its causes, diagnostic workup, and treatment options. The video also includes examples to help illustrate the information being presented. The video is focused on the topic and provides relevant information to the viewers."," 5Explanation: The video achieves its aims. The video provides a comprehensive overview of Nocturnal Enuresis, including its definition, causes, diagnostic workup, and treatment options. It also includes relevant examples and vignettes to illustrate the discussed concepts. The information is presented in a clear and organized manner, making it easy for the viewer to understand the topic. Additionally, the video addresses potential serious complications related to the treatment, which is an essential part of the subject. Overall, the video successfully covers the topic and achieves its aims."," 5Explanation: The video is relevant as it provides a comprehensive explanation of Nocturnal Enuresis, its causes, diagnostic workup, and treatment options. It also includes relevant examples and case vignettes to illustrate the topic. The video is aimed at providing useful information to both medical professionals and the general public who may be affected by or interested in the topic."," 2
Explanation: The video provides some information about the sources of Nocturnal Enuresis, but it does not explicitly mention any specific sources other than the author's knowledge. The author discusses the risk factors, diagnostic workup, and treatment options, but does not provide any references or mention any specific studies or publications. Therefore, the score is 2, partially, as the information is shared, but the sources are not explicitly mentioned."," 5. The information used or reported in the transcript was clear when it was produced. The speaker explained the causes, diagnostic workup, and treatment options for Nocturnal Enuresis, and provided examples with clear explanations. Additionally, the speaker discussed the possible cause of the two-year-old boy's problem, which was related to the seven-year-old brother's medication. The information was presented in a logical and easy-to-follow manner."," 5Explanation: The video provides a balanced and unbiased overview of Nocturnal Enuresis, its causes, diagnostic workup, and treatment options. It also includes examples to illustrate the importance of considering different factors and potential complications. No personal opinions or preferences are expressed, and all information is presented in a neutral, informative manner. Therefore, the score is 5."," 2
Explanation: The video provides some information about the condition, its causes, and treatment options, but it does not provide details of additional sources of support and information. Therefore, it is a partial answer."," 2
Explanation: The video provides a comprehensive overview of Nocturnal Enuresis, its causes, diagnostic workup, and treatment options. However, it does not specifically refer to areas of uncertainty or ongoing research in the field. The score is 2 because it is a well-structured and informative video, but it does not address uncertainty or the evolving understanding of the topic."," 5
Explanation: The video describes how each treatment works. For the bedwetting alarm, it explains that the alarm triggers when the bed becomes wet, and it has a 70% success rate. For Desmopressin, it explains that it is ADH (antidiuretic hormone) that brings water back into the bloodstream. For Imipramine, it mentions that it can cause cardiac arrhythmias as a serious side effect. So, the video provides information on how each treatment works."," 4
Explanation: The video does describe the benefits of the bedwetting alarm (70% success rate) and the medications (Desmopressin brings water back, Imipramine is used to treat Nocturnal Enuresis, but has serious side effects). However, it does not explicitly mention the benefits of reassurance, urine analysis, and blood glucose level tests. Therefore, the score is 4, meaning 'partially'. The video could have provided more information on the benefits of the diagnostic tests and reassurance."," 2
Explanation: The video briefly mentions the serious side effect of Imipramine, which is cardiac arrhythmia. However, it does not describe the risks associated with the bedwetting alarm or Desmopressin. Therefore, the video partially describes the risks of one treatment, which corresponds to a score of 2."," 2
Explanation: The video does mention that nocturnal enuresis is self-limiting, which means that without treatment, the condition may improve over time. However, it does not provide a detailed description of what would happen if no treatment is used. The focus is more on the causes, diagnostic workup, and treatment options for the condition."," 2
Explanation: The video briefly mentions treatment options for Nocturnal Enuresis, including a bed-wetting alarm and medications (Desmopressin and Imipramine). However, it does not specifically discuss how these treatment choices affect the overall quality of life for the patients. The focus is more on the diagnostic workup and the causes of the condition. Therefore, the score is 2, which means 'partially'. It is mentioned that the condition is self-limiting and the patient and the parent should be counseled about that, but the impact of the treatments on the quality of life is not discussed."," 5
Explanation: The video clearly states that there are multiple treatment options for Nocturnal Enuresis, including a bed-wetting alarm and medications (Desmopressin and Imipramine). The video also mentions that if the bed-wetting alarm is not successful, medications can be used. Therefore, the video is clear that there may be more than one possible treatment choice."," 3Explanation: The video provides some information that could be used to support shared decision-making, such as the self-limiting nature of the condition, the existence of treatment options, and the most effective treatment (bed-wetting alarm). However, it does not explicitly discuss the importance of shared decision-making, nor does it provide a balanced presentation of the pros and cons of different treatment options. Therefore, the score is 3, meaning 'partially'.",set(),1
95T3ABnnhOs,"Even after toilet training, it's not uncommon for a child to occasionally wet his or her bed at night. But for parents like Ted and Lisa Dittmeyer, it can be frustrating. At age three, their daughter Michaela was a frequent bed wetter. When she was wetting her bed every night, it was very aggravating. I had to change the sheets every day. I had to wash the sheets every morning, put them back on the bed every day. It was very time consuming and it got very old. And worrisome. Is she all done? Yeah. In the beginning, Ted and Lisa were very concerned about their daughter's condition, but they informed her pediatrician and were relieved to learn that it's very common for children Michaela's age to wet the bed. Bedwetting is so common that in young children we don't even consider it a disorder of any kind. So for example, 10% of five-year-olds wet the bed on a regular basis. I wouldn't consider that an abnormality and in fact I don't make any interventions in younger children who are wetting the bed. It's nice to hear that Michaela isn't the only one with the problem. It was nice to be reassured by their pediatrician that there's other children with the same problem. What causes a child to wet his or her bed? There may be a number of factors, including a small bladder capacity, genetic factors, a urinary tract infection, and even emotional stress. But the primary and most common cause of bedwetting is difficulty waking. A child's body is not yet trained to recognize the signs of a full bladder, so the child simply won't wake up when it's time to go to the bathroom. Some studies show that children wet the bed during all different stages of sleep. But children who sleep very deeply, particularly children for example who've just given up their nap so they're sleeping very deeply, are not aware on any level of the contractions of the bladder. What can be done? Ted and Lisa find that waking Michaela up to use the bathroom three hours after she goes to sleep helps reduce the number of wet nights. Good job. I try to do my part and help out with Michaela's problem by waking her up in the middle of the night if my wife is too tired and taking her to the bathroom. It's kind of a bonding experience there and it's nice that we can have that time together. For some children, avoiding liquids late at night and using the restroom before bedtime can help. But that's usually not enough to solve the problem altogether. Until bedwetting stops, there are a few easy steps parents can take to help their children feel more comfortable. They can protect beds with fitted plastic mattress covers used with overlay pads for absorption, provide children with protective undergarments, read books on bedwetting to them, have clean pajamas ready and waiting for them, and encourage them to help change the sheets and remake the bed. This can help give a child a sense of control and make him or her feel like a big boy or girl. Lisa says that family support is also imperative. The other children in the house do not tease her at all. We have made it a point to instruct them not to tease her about the bedwetting and they've been very supportive about that. The whole family has been very supportive with Michaela's problem. As a matter of fact, my oldest daughter, Deanna, helps Michaela out a lot in the morning. She'll take her to the bathroom, make sure she goes to the bathroom again, undress her, take off her wet clothes, and clean her up and get her ready for the day. Family support is very important with a bedwetting problem. It helps me, it relieves my stress, and it enables Michaela not to feel inadequate in a sense. Often, the only real complication of bedwetting is the embarrassment the child feels for having done it. To help minimize these feelings, explain to her that bedwetting is not her fault and that lots of kids her age do it, and never punish her for having made a mistake. I think the most important thing to remember about bedwetting is that this is something children will outgrow so that it won't harm them in the long term unless it's made into a big issue in the family that makes them feel ashamed or belittled or makes them feel as though there's something wrong with them. So it's important to help children feel like they're okay, this is just part of the normal development. Little bodies need time to mature to the point where they can actually get up and go when they need to. It's starting to happen for Michaela. One time at night, she walked into my room and she said, Mommy, I just went to the potty. And she realized she had to go to the bathroom, and she got up herself and went to the bathroom.",5,5,5,2,5,5,3,2,4,3,2,2,2,5,4," 5Explanation: The aims of the video are clear. The video aims to inform parents about bedwetting in children, its causes, and how to manage the situation without causing emotional stress to the child. It also emphasizes the importance of family support and reassurance for the child. The video achieves these aims by providing expert opinions, personal experiences, and practical advice for parents dealing with this common issue."," 5Explanation: The video achieves its aims. The video provides information about bedwetting in children, its causes, and how parents can help their children cope with the problem. It also emphasizes the importance of family support and not making the child feel ashamed. The video uses a real-life example to illustrate the issue and its resolution, making it relatable and easy to understand."," 5
Explanation: The video is directly relevant to the topic of bedwetting in children, discussing causes, management, and support for children experiencing this issue. It provides information from a medical perspective, including insights from a pediatrician. It also shares a real-life example of a family dealing with bedwetting, which can be helpful for parents and caregivers facing similar situations."," 2
Explanation: The video mentions that the information comes from a pediatrician, but it does not provide any additional sources or specific names of experts or studies. Therefore, it is partially clear what sources were used."," 5
Explanation: The video is clear when the information used or reported in the transcript was produced. The information is presented as a direct explanation from the experts, such as the pediatrician, and the experiences of the family. No specific dates or years are mentioned, but the context is clear that the information is relevant and applicable to current situations. The video is focused on providing information and support for parents dealing with bedwetting in their children, and it does so effectively without causing confusion about when the information was produced."," 5Explanation: The video is balanced and unbiased. It provides information on the commonality of bedwetting, possible causes, and ways to help children cope with the issue. It also emphasizes the importance of family support and not making the child feel ashamed. No particular product or treatment is promoted, and the information is presented in a neutral, informative manner."," 3
Explanation: The video provides some information about seeking support from a pediatrician, but it does not provide details of additional sources of support and information, such as websites, books, or support groups. However, it does mention reading books on bedwetting, which could be seen as a partial source of additional information."," 2
Explanation: The video does not explicitly refer to areas of uncertainty, but it does mention that there may be a number of factors that cause bedwetting, including a urinary tract infection and emotional stress. However, the primary and most common cause is difficulty waking. The video focuses more on the commonality of the issue and how to manage it, rather than the uncertainty surrounding the cause."," 4
Explanation: The video does describe how some treatments work, such as waking the child up to use the bathroom, avoiding late-night liquids, and using a mattress cover with overlay pads. However, it does not go into detail about how other potential treatments, like addressing emotional stress or treating a urinary tract infection, would work."," 3
Explanation: The video does describe some benefits of the treatment (waking the child up to use the bathroom, avoiding liquids late at night, and using the restroom before bedtime), but it does not provide a comprehensive list of all the possible treatments and their benefits. It also focuses more on the causes and management of the problem, rather than the benefits of each treatment."," 2
Explanation: The video does mention some of the possible causes of bedwetting, but it does not describe the risks of each treatment. It only mentions one treatment, which is waking the child up to use the bathroom, and it does not discuss any potential risks associated with this treatment."," 2
Explanation: The video does mention the possible causes of bedwetting and the steps that can be taken to help the child, but it does not specifically describe what would happen if no treatment is used. However, it does imply that the problem will persist if no intervention is made, which is why it gets a 2 instead of a 1."," 2
Explanation: The video does mention the impact of bedwetting on the child's life, but it does not specifically discuss how the treatment choices affect the overall quality of life. It does, however, provide some tips to help children feel more comfortable and supported, which can have a positive impact on their quality of life."," 5
Explanation: The video clearly states that there may be more than one possible treatment choice. It mentions waking the child up to use the bathroom, avoiding late-night liquids, using the restroom before bedtime, and using protective undergarments and mattress covers. Additionally, it emphasizes the importance of family support and not making the child feel ashamed. The video also explains that some children may outgrow the problem without any specific intervention."," 4
Explanation: The video provides support for shared decision-making as it discusses the importance of family support, reassurance, and involving children in the process of managing bedwetting. However, it does not explicitly mention shared decision-making as a term or process, which is why it is not a perfect 5.",set(),2
n8kmsN0em90,"Enuresis is intermittent nighttime incontinence in a child who is aged 5 or older. There are two types of enuresis: Primary and Secondary. Primary Nocturnal Enuresis is by far the most common type. It is urination at night, during sleep, in a child aged 5 or older who has not yet attained bladder control. It is often due to a delay in maturation of bladder control or due to a developmental disorder. This type is more common in boys and it usually resolves on its own. Because most cases resolve spontaneously, the treatment for primary nocturnal enuresis should not be considered until the child is 7 years of age. Secondary Nocturnal Enuresis is involuntary passage of urine in children who have previously achieved bladder control. This secondary loss of bladder control can be due to an underlying organic disease process (such as a urinary tract infection or diabetes) or it can be because of psychological stressors (such as birth of a sibling, school problems, and family discord). Diurnal Incontinence (loss of bladder control during waking hours) is often associated with enuresis and nearly 80% of these children lose control at night. Treatment of enuresis depends on the type and etiology. For most cases, reassurance is enough, as some children will outgrow the problem. Sometimes, behavioural modifications, enuresis alarms, or medications can be used. If incontinence is secondary to another pathology, treating the underlying cause will resolve symptoms.",5,5,5,1,5,5,2,2,3,2,2,3,2,5,2," 5Explanation: The aims of the video are clear. The transcript provides a comprehensive explanation of enuresis, its types, causes, and treatment options. It also addresses the most common type of enuresis and when treatment should be considered. The information is presented in a logical and easy-to-follow manner, making the purpose of the video clear to the viewer."," 5Explanation: The video achieves its aims as it provides a clear and concise explanation of enuresis, its types, causes, and treatment options. It also addresses the most common type and provides recommendations for when treatment should be considered. Additionally, it mentions the association with diurnal incontinence and emphasizes that reassurance is often enough, while also mentioning other possible treatment options. Overall, the video provides a comprehensive overview of the topic for the intended audience."," 5Explanation: The video is directly relevant to the topic of enuresis, its types, causes, and treatment options. It provides a comprehensive overview of the condition, making it highly relevant to the subject."," 1
Explanation: The transcript does not mention any specific sources of information used to compile the publication other than the author. It does not provide any references, citations, or mention of expert opinions or research studies. Therefore, the score is 1, meaning 'no'."," 5
Explanation: The transcript provides clear information about the two types of enuresis, their causes, and the treatment options. It also mentions that the primary nocturnal enuresis is more common in boys and usually resolves on its own. The information used in the transcript is clear and easy to understand."," 5Explanation: The video transcript provides a balanced and unbiased overview of enuresis, discussing both types, their causes, and treatment options. It does not favor one treatment over another or promote any particular product or service. It also does not express any personal opinions or biases."," 2
Explanation: The video provides some information, but it does not mention any additional sources of support or information. It only discusses the types of enuresis, causes, and treatment options."," 2
Explanation: The video does not explicitly refer to areas of uncertainty, but it does mention that most cases of primary nocturnal enuresis resolve spontaneously, which implies that there is some uncertainty in predicting when or if a child will outgrow the problem. However, the information provided is mostly factual and does not delve into the uncertainties of the condition or its treatment. Therefore, the score is 2, meaning 'partially'. It would have scored higher if there were more discussion on the uncertainties or if the uncertainty was more central to the topic. Conversely, it would have scored lower if there was no mention of uncertainty at all."," 3
Explanation: The video describes the different types of enuresis and their causes, but it only briefly mentions the treatments without going into detail about how each treatment works. It mentions reassurance, behavioral modifications, enuresis alarms, and medications, but does not explain how each of these treatments help to address the problem of enuresis."," 2
Explanation: The video describes the different types of enuresis and their possible causes, but it does not specifically describe the benefits of each treatment option mentioned. It only states that reassurance, behavioral modifications, enuresis alarms, or medications can be used, but it does not explain how each of these treatments can help the child."," 2Explanation: The video does mention the treatment options for enuresis, but it does not describe the risks associated with each treatment. It only mentions that reassurance, behavioral modifications, enuresis alarms, or medications can be used, but it does not discuss the potential risks or side effects of these treatments."," 3
Explanation: The video does not explicitly describe what would happen if no treatment is used, but it does mention that most cases of primary nocturnal enuresis resolve spontaneously, which implies that without treatment, the condition may still improve over time. However, it does not discuss the potential outcomes for secondary nocturnal enuresis or diurnal incontinence without treatment."," 2
Explanation: The transcript briefly mentions treatment options for enuresis, but it does not describe how the treatment choices affect the overall quality of life. It only states that reassurance, behavioral modifications, enuresis alarms, or medications can be used, and treating the underlying cause will resolve symptoms. However, it does not discuss the impact of these treatments on the child's daily life and well-being. Therefore, it is a partial answer."," 5
Explanation: The transcript clearly states that ""Treatment of enuresis depends on the type and etiology"" and lists multiple possible treatment options, including reassurance, behavioral modifications, enuresis alarms, medications, and treating the underlying cause if there is an underlying pathology. This indicates that there may be more than one possible treatment choice."," 2Explanation: The video provides some information about the different types of enuresis and their possible causes, but it does not explicitly mention shared decision-making. Shared decision-making is a collaborative process between the healthcare provider and the patient (or in this case, the child's parents) to make decisions about the child's treatment based on the available evidence, the child's values, and preferences. The video does mention that reassurance, behavioral modifications, enuresis alarms, or medications can be used, but it does not discuss how these options are discussed and chosen with the family.",set(),3
XFitRQ9S68Q,"There are two very common drugs that are used, one is called desmopressin and the other is called oxybutynin. Desmopressin acts like the anti diuretic hormone I've mentioned in the past. The whole idea of this drug is to try and reduce the amount of urine that the kidneys are producing overnight and it can be taken either as a tablet or slipped under the tongue as a little melt just before going to bed. It’s started at a low dose and if there’s no benefit after a few weeks then the dose can be increased to see if that helps. In general desmopressin is a very safe drug to take, it doesn't cause very many side effects. But like all medications there's a very small number of young people who may complain of some nausea, vomiting or loss of concentration amongst other things whenever they're taking the desmopressin. If you're worried about any new signs or symptoms that develop after your young person starts taking it you should just have a chat to your family doctor about it. If the young person who's taking desmopressin starts to have any vomiting or diarrhoea it's important that you don't give the desmopressin during this period of time because that can cause problems with the fluid in the body and problems with the salts in the body. Oxybutynin is another very common medication that's used to try and help young people with bedwetting and oxybutynin acts like a relaxant for the bladder, it chills the bladder out. It's mainly used to try and treat the overactive bladder that we see a lot in young people and if that's present at night that can cause the bladder to squeeze down and make the young person wet the bed and again it can be started at a low dose and the dose increased if there's no benefit to it. Again it can cause problems such as nausea, vomiting, loss of concentration, change of mood. And again if you're worried about any new symptoms that develop after your young person starts to take oxybutynin then it's worthwhile having a chat to your family doctor about this. Bedwetting is such a common problem in young people that NICE (the National Institute for Health and Care Excellence) have developed a guideline which should be used nationally, so it doesn't matter if you go to see your family doctor in London or somebody in the north of the country, they should be able to follow these guidelines. NICE suggest that you can try either the desmopressin or the oxybutynin as the first line treatment. If the drug that you're given doesn't work you should then try the other drug, so if you've tried desmopressin and that hasn't worked then you should try oxybutynin and vice versa and if you find that desmopressin and oxybutinin on their own have both failed, then the next step is a trial of both drugs together. If desmopressin and oxybutynin together don't work then there is another drug called imipramine that can be used to try and help bedwetting. But by the time that you're getting onto using imipramine it doesn't have a high success rate, but it does work in some young people and if you warrant trying imipramine, your doctor will discuss this with you.",5,5,5,3,5,5,2,2,4,3,4,2,2,5,2," 5Explanation: The aims of the video are clear. The video provides information about two common drugs used to treat bedwetting, their mechanism of action, potential side effects, and the recommended treatment approach according to the NICE guidelines. The video also gives advice on when to consult a doctor if side effects occur or if the treatment is not effective. The video is focused on the topic and provides relevant, useful information for the viewers."," 5Explanation: The video achieves its aims. The speaker provides a clear and concise explanation of two common drugs used to treat bedwetting, their mechanisms of action, potential side effects, and the recommended treatment approach according to NICE guidelines. The video is informative and easy to understand for the intended audience."," 5Explanation: The video is directly relevant to the topic as it discusses the medications used to treat bedwetting, their mechanism of action, side effects, and the recommended treatment guidelines."," 3
Explanation: The video mentions the use of NICE guidelines, but it does not provide specific details about other sources of information used to compile the publication. Therefore, it is partially clear about the sources of information used."," 5Explanation: The video is clear when the information used or reported in the transcript was produced. The speaker refers to ""NICE (the National Institute for Health and Care Excellence) have developed a guideline"" which indicates a specific source of information. Additionally, the speaker uses the terms ""desmopressin"" and ""oxybutynin"" which are specific drug names, and their usage and side effects are well-established in the medical field. Therefore, the information provided can be traced back to its source, and the score is 5."," 5Explanation: The video provides a balanced and unbiased overview of the two common drugs used to treat bedwetting, desmopressin and oxybutynin. It discusses the mechanism of action, dosing, potential side effects, and the recommended treatment approach according to the NICE guidelines. No particular drug is promoted over the other, and the information provided is factual and helpful for those seeking information on these medications."," 2
Explanation: The video does mention a source, NICE, which is a guideline for the treatment of bedwetting. However, it does not provide any additional sources of support or information, such as websites, support groups, or other resources. Therefore, it is a partial answer."," 2
Explanation: The video provides information about the medications used to treat bedwetting and their potential side effects. However, it does not specifically refer to areas of uncertainty in the treatment or research. It does follow the NICE guidelines, which may suggest a certain level of certainty in the approach, but the score is not high enough to be a 'yes' (5) or a 'partially' (3 or 4). Therefore, the score is 2, meaning 'no' but with some information that could be relevant to the question. It would be a 'partially' if the video mentioned ongoing research, potential future treatments, or uncertainties in the effectiveness of the medications."," 4
Explanation: The video describes how each treatment works, but it does not go into great detail about the specific mechanisms of action. It provides a general understanding of how the drugs function, which is enough to give a 4, but not enough for a 5. Desmopressin reduces urine production, oxybutynin relaxes the bladder, and imipramine is mentioned as another option, but its function is not described."," 3
Explanation: The video does describe the benefits of each treatment, but only in a general sense. It does not provide specific details on how each treatment helps with bedwetting or the specific improvements one can expect from using these treatments. It mainly focuses on the administration, potential side effects, and the recommended treatment sequence according to NICE guidelines."," 4
Explanation: The video does describe the risks of each treatment, but it does not provide a comprehensive list of all possible side effects. It mentions some of the common side effects and advises to consult a doctor if new symptoms develop. However, it does not explicitly state that there may be other, less common, side effects that were not mentioned."," 2
Explanation: The video provides information about the available treatments for bedwetting, but it does not specifically describe what would happen if no treatment is used. However, it does discuss the importance of treatment and the guidelines for choosing the appropriate treatment, which implies that not treating the condition may lead to ongoing bedwetting."," 2
Explanation: The video provides information about the medications used to treat bedwetting and their potential side effects. However, it does not specifically discuss how the treatment choices affect the overall quality of life. It only mentions the medications and their possible side effects, but does not explore the impact on daily life or emotional well-being."," 5
Explanation: The video clearly states that there are multiple treatment options available, starting with desmopressin or oxybutynin, and if one doesn't work, the other can be tried. If both fail, a combination of both can be tried, and if that doesn't work, imipramine can be considered. The video follows the NICE guidelines, which are designed to provide a systematic approach to treatment choices. Therefore, the video is clear that there may be more than one possible treatment choice."," 2
Explanation: The video provides some information about the available treatment options, but it does not explicitly encourage shared decision-making or provide information to support shared decision-making. It is important to discuss the options with a doctor, but the video does not emphasize the importance of shared decision-making or provide information to help patients make informed decisions.",set(),4
qhNV0YhvaNQ,"What is Nocturnal Enuresis, bedwetting? When children urinate without control while they are asleep When does it become a problem? Most children can control their bladder during the day and night by the age of four About 10% of children aged six or seven still can't stay dry, as they have day or nighttime accidents If a child experiences bladder control problems during sleep after the age of seven, it's worth looking into Causes Smaller than expected bladder capacity High intake of fluids in the evening or just before going to bed Sleep disorders Constipation Stress Urinary tract infection Diabetes may be the first sign of early-onset diabetes Diagnosis Urine analysis Blood test Kidney and bladder scan Uroflometry Urodynamic testing, optional Treatment Reducing the amount of fluids your child drinks one to two hours before bed Creating a schedule for bathroom use, changing toilet habits Wedding alarm devices Prescription trucks NU Hospitals has the best pediatric urologists, highly experienced to treat all kinds of urinary slash bladder problems in children C-Brace www.ottobock.com",2,2,4,1,2,3,2,2,2,2,1,2,1,2,1," 2Explanation: The video aims to explain Nocturnal Enuresis, its causes, diagnosis, and treatment. However, it also briefly mentions unrelated topics like C-Brace and a specific hospital, which makes the aims not entirely clear."," 2Explanation: The video provides some information about Nocturnal Enuresis, but it does not provide a comprehensive explanation of the topic, nor does it provide clear steps on how to address the problem. It also seems to be promoting a specific hospital and product at the end, which is not relevant to the topic."," 4
Explanation: The video is relevant to the topic of Nocturnal Enuresis (bedwetting) as it discusses the condition, when it becomes a problem, possible causes, diagnosis, and treatment options. However, it also briefly mentions unrelated topics like C-Brace and a specific hospital, which is why it is not a perfect 5."," 1
Explanation: The transcript does not mention any sources of information other than the author. It only provides general information about Nocturnal Enuresis, its causes, diagnosis, and treatment options. No specific references or studies are mentioned."," 2
Explanation: The transcript provides some information about the causes and diagnosis of Nocturnal Enuresis, but it does not specify when the information was produced or updated. Therefore, it is only partially clear."," 3
Explanation: The video provides a balanced and unbiased overview of the topic, Nocturnal Enuresis, by discussing the definition, when it becomes a problem, possible causes, diagnosis, and treatment options. However, it is not completely unbiased as it promotes NU Hospitals and their pediatric urologists at the end. This promotion, although relevant to the topic, introduces a bias in the video."," 2
Explanation: The video does not provide details of additional sources of support and information, but it does mention a specific hospital (NU Hospitals) and a company (Ottobock) that may provide additional information or treatment options. However, it is not enough to provide a comprehensive list or resources for support and information."," 2
Explanation: The video provides information about Nocturnal Enuresis, its causes, diagnosis, and treatment. However, it does not specifically refer to areas of uncertainty. It is a general informative video without mentioning the unknown or ongoing research aspects of the topic. Therefore, it is partially relevant to the question, but does not directly address areas of uncertainty."," 2
Explanation: The video mentions some treatments, like reducing fluid intake, creating a schedule for bathroom use, and using alarm devices, but it does not describe how each treatment works."," 2
Explanation: The video mentions some treatments, like reducing fluid intake, creating a schedule for bathroom use, and using alarm devices. However, it does not describe the benefits of each treatment."," 1, ""No""
Explanation: The video does not describe the risks of any treatment. It briefly mentions some treatments, such as reducing fluid intake, creating a schedule for bathroom use, using a bed-wetting alarm, and prescription drugs, but it does not discuss the potential risks or side effects associated with these treatments."," 2
Explanation: The video mentions that if a child experiences bladder control problems during sleep after the age of seven, it's worth looking into, but it does not specifically describe what would happen if no treatment is used."," 1, ""No""
Explanation: The transcript does not discuss how the treatment choices affect the overall quality of life. It only mentions the possible causes, diagnosis, and treatment options, but does not provide any information on the impact of these treatments on the child's life."," 2
Explanation: The video mentions treatment, but it does not explicitly state that there may be more than one possible treatment choice. It only briefly mentions a few treatment options without elaborating on them."," 1
Explanation: The video does not provide support for shared decision-making. It only provides information about Nocturnal Enuresis, its causes, diagnosis, and treatment, but it does not discuss involving the patient or their family in the decision-making process. Shared decision-making involves discussing the options, weighing the pros and cons, and making a decision together with the patient and their family.",set(),5
