Video ID,Transcript,Topic,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Response_1,Response_2,Response_3,Response_4,Response_5,Response_6,Response_7,Response_8,Response_9,Response_10,Response_11,Response_12,Response_13,Response_14,Response_15,Problem
t6PP67AsJaI,"Fetal surgery for spina bifida is an incredibly complex procedure. At Children's Hospital of Philadelphia, where the surgery was developed, a team of more than 20 people are in the operating room. They include up to four fetal surgeons, one neurosurgeon, two anesthesiologists, a maternal fetal medicine specialist, a fetal cardiologist and specialized nurses. They have performed this procedure more than any team in the world. Before surgery, the mother receives deep general anesthesia. Fetal surgeons make an incision across the mother's abdomen. The maternal fetal medicine specialist uses ultrasound to determine the position of the fetus and the margins of the placenta. The uterus is then opened with a specially designed uterine stapling device that controls bleeding, and the fetus is positioned so the spinal defect is visible. The fetal cardiologist monitors the baby's heart as the team closes the defect. The neurosurgeon removes a sac on the baby's back that covers the opening in the spinal cord. The sac is a thin membrane filled with fluid. The neurosurgeon and the fetal surgeon then close the defect in multiple layers using a lacing technique. First the muscle layers are closed over the defect. Then the skin is closed over the muscle layers. This ensures a watertight closure. The mother's uterus is closed in multiple layers, then her abdomen is closed and she is returned to her room. The pregnancy then continues until planned delivery at 37 weeks' gestation, most often in our Special Delivery Unit created for moms carrying babies with birth defects. ♪♪",Spina Bifida,2,3,5,,,,,,,,,,,,,"Score: **2** 

While the transcript provides a detailed explanation of the *procedure* of fetal surgery for spina bifida, it does not explicitly state the *aims* of the video. 

Here's why:

* **Missing Aim:** The transcript focuses on the ""how"" of the surgery, not the ""why.""  Is the video aiming to educate patients?  Showcase the hospital's expertise? Raise awareness about spina bifida?  
* **Assumed Audience:** The detailed description suggests the video might be for expecting parents considering the surgery, medical students, or the general public interested in medical advancements. However, without a clear aim stated upfront, the intended audience and the takeaway message remain unclear.

A higher score would require the transcript to include statements like:

* ""This video will guide you through...""
* ""Our goal is to demonstrate...""
* ""By the end of this video, you will understand..."" 
 
Without such framing, the aim remains implied rather than explicitly clear. 
","Score: **3 (Partially)**

**Explanation:**

This transcript provides a good overview of the complexity and steps involved in fetal surgery for spina bifida. It highlights the expertise of the team at Children's Hospital of Philadelphia and the specialized equipment used. It also mentions the post-surgery care and planned delivery.

**However, without the context of the video's stated aims, it's difficult to definitively say whether it fully achieves them.**

* **If the video's aim was purely to inform about the procedure, then it partially succeeds.** It provides a detailed description but lacks visuals, which are crucial for understanding a surgical procedure. 
* **If the video aimed to showcase the expertise of the hospital and encourage potential patients, it partially succeeds.** Highlighting the experience and success rates could be persuasive, but again, visuals are missing. 
* **The transcript lacks any personal stories or patient testimonials.** Including these could significantly enhance the video's impact, depending on its aims. 

**In conclusion:** The transcript demonstrates potential in achieving its aims, but without knowing the specific goals and seeing the visual components, it's impossible to give a definitive score higher than ""partially"". 
","Score: **5**

**Explanation:**

This transcript clearly and accurately describes the highly specialized and complex procedure of fetal surgery for spina bifida. It highlights:

* **The medical expertise involved:**  The transcript lists the numerous specialists required for the surgery, emphasizing the complexity and need for a multidisciplinary approach.
* **The specific steps of the procedure:** It outlines the surgical process, including anesthesia, incision, fetal monitoring, defect closure, and uterine closure. This detailed description demonstrates relevance to the topic.
* **The location where the surgery was developed:**  Mentioning Children's Hospital of Philadelphia as the origin point for this procedure adds to the transcript's credibility and relevance. 
* **Post-operative care:** The transcript briefly discusses the continued pregnancy after surgery and the specialized delivery unit, further indicating relevance to the full scope of fetal spina bifida treatment. 

Overall, the transcript provides a relevant and informative overview of fetal surgery for spina bifida. 
",,,,,,,,,,,,,set()
TuLAGDTpR6Y,"My name is Robin Bowman. I'm the director of Lurie Children's Multidisciplinary Spina Bifida Center and a fetal neurosurgeon with the Chicago Institute for Fetal Health, one of the few comprehensive fetal Care centers in the country. Approximately 1,500 babies are born each year in the United States with open spina bifida. In many cases, our experienced team can repair this birth defect while the baby is in the womb. This video demonstrates our minimally invasive fetoscopic repair for open spina bifida. This technique is designed to reduce the risk for mother and baby undergoing fetal surgery while preserving the option of vaginal delivery. Babies with open spina bifida who underwent back closure before birth have been shown to have long-term and improvement in their leg function, less of a need for hydrocephalus treatment, and improvement in the imaging of their brain. Open spina bifida occurs when the bones of a baby's back do not close properly. The baby's spinal cord extends through the open bones and attaches to the skin. This birth defect most often occurs in the baby's lower back region. Open spina bifida also has an impact on the developing brain. Babies with open spina bifida may develop an excess of spinal fluid known as hydrocephalus. The back part of their brain may also sink down into the neck. And this is known as hindbrain herniation. Fetal closure of the exposed spinal cord has been shown to help improve the hindbrain herniation and decrease the development of excessive brain water. The repair of an open spina bifida is done before 26 weeks gestation. Let's walk through this procedure. Once the mother is prepared for surgery and under anesthesia, we create an incision on her abdomen. A transverse or horizontal incision is made across the lower abdomen. In some cases a midline incision is made. The abdominal muscles are then opened in the midline. The abdominal cavity is entered. And the uterus is exposed. Intraoperative ultrasound is used to precisely identify the position of the baby in the placenta, which helps us plan our entry points while watching with the ultrasound. The initial port is inserted into the uterus. Warm, humidified carbon dioxide is then infused into the uterine cavity to expand our working field. We then insert a camera through the port and watch on the viewing screen as two additional 3 millimeter ports are inserted into the uterus. After all, three ports are inserted, the fetus is anesthetized and the back closure begins. We begin by releasing the spinal cord from the surrounding tissues. This allows the cord to relax back within the canal. We then close the spinal cord with a few stitches. Our attention is then turned to the dura or the tough membrane covering the brain and spinal cord, which holds in the spinal fluid. The dura is freed circumferential and closed in a watertight fashion. Lastly, the skin is undermined, enclosed in the midline. Occasionally, the defect is too large to allow primary skin closure. In this situation, a patch is used to close the skin opening. The fetal repair portion of the procedure is now complete. To further protect the baby for the duration of pregnancy, warm fluid and antibiotics are placed within the uterine cavity. All ports are removed, and the incisions are sutured closed. The mother's abdominal wall and skin are closed. The fetus continues to develop and heal for the duration of the pregnancy. During this time, the hindbrain herniation may also correct itself as the cerebellum will likely move back into place. Ideally, the pregnancy continues to full-term, at which point the baby is delivered vaginally and cared for by our expert team of specialists. The Chicago Institute for Fetal Health and Lurie Children's Hospital is home to one of the oldest and largest multidisciplinary spina bifida centers in the world. This spina bifida team is comprised of a variety of surgical, medical, and rehabilitation experts, who are focused on assisting each child with open spina bifida reach and maintain their highest developmental potential. The Chicago Institute for Fetal Health Team will insure you and your baby's care is individualized and thorough throughout your child's life.",Spina Bifida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set()
4xOGmPla7e0,"... Hi, my name is Jason Hsu, and I am an assistant professor of neurosurgery at Keck School of Medicine here at USC. I'm also a pediatric neurosurgeon that works at Children's Hospital Los Angeles, and I'm excited to talk to you a little bit about some of our ongoing work and our experience with fetal surgery for myelomeningocele. So myelomeningocele is a central nervous system malformation that occurs extremely early in life, and it results from a failure of primary neuralation where the caudal neural port fails to go from a sheet and roll over it to form a tube. The resultant malformation not only affects the spinal cord, but also the nerves, the bones, the muscles, and the skin in the back. There are also secondary effects that can occur in the brain as a result of this malformation lower down in the spinal cord. And in this picture, we can see our myelomeningocele in this newborn baby, but what's not immediately obvious in this picture is the other malformations that can occur within the brain, weakness in the legs or paralysis in the legs, bladder dysfunction, scoliosis, as well as symptomatic hydrocephalus. The traditional way that a myelomeningocele is treated is to repair it after the babies are born. However, a lot of work done in the 90s had looked for ways to repair the myelomeningocele lesion prenatally. And the researchers had shown that prenatal repair was effective in protecting the existing neural elements from continued injury in utero, as well as preventing spinal fluid leak from the myelomeningocele itself with a secondary effect of restoration of more normal CSF hydrodynamics. All of this work had resulted in a large randomized control trial that was published approximately 10 years ago. This trial is called the Management of Myelomeningocele, or MOMS trial, and the investigators had found improvements in rates of symptomatic hydrocephalus that required treatment, as well as improved motor outcomes in a number of the patients that were repaired prenatally. The benefits to the infants, however, did not come without risks. And there was noted to be very significant maternal morbidity related to prenatal repair, including severe complications such as placental abruption, premature rupture of membranes, resulting in prematurity within many of the babies born, as well as a need for a C-section for the current pregnancy, as well as any future pregnancies. This is a picture of how the MOMS trial investigators had completed the prenatal repair. And what some of the maternal morbidity came about from was not only was a laparotomy required, but a hysterotomy was also required where the uterus is open in order to gain access to the myelomeningocele lesion. Despite the maternal risks, fetal surgery for myelomeningocele has gained traction worldwide. Several centers within the United States have started fetal programs for myelomeningocele. In addition, several of these programs have attempted to refine the procedure so that there's less maternal risk and less trauma to the uterus. This is a technique that's described by Dr. Belfort and Dr. Whitehead at Baylor College of Medicine and Texas Children's Hospital. Another technique had involved a hybrid approach where the uterus was externalized, however, the procedure was completed in a minimally invasive fashion where laparoscopes and laparoscopic instruments were placed within the uterus in order to complete the myelomeningocele closure. Additionally, other groups, mainly actually in Europe as well as South America, have attempted to complete the myelomeningocele repair through a purely percutaneous approach involving the placement of the laparoscopes and working channels and laparoscopic instruments in a minimally invasive fashion through the skin. While this minimally invasive approach has mainly been done outside of the United States, here at USC we've collaborated with a group in Miami to try and bring this technique here. To date, USC and CHLA is currently only one of two centers in the United States to offer this percutaneous, fetoscopic repair for myelomeningocele. We are currently conducting a phase one study to evaluate its safety, and our goal is to try and achieve similar outcomes for our infants as the MOMS trial while improving maternal outcomes. This is a picture of our team, and as you can see, it's a very multidisciplinary team that not only involves fetal surgeons, OBGYNs, neurosurgeons, but also spina bifida, pediatricians, radiology as well as neonatologists. As you can see, it really takes a village to try and complete this work. We've done our first case in February of 2019, and as of October 2020, we've done 28 cases of 27 patients split between here and our collaborators over in Miami. This is a video of one of our cases, and here we have introduced our laparoscopes and laparoscopic instruments. You can see the neuroplakode from before, and using laparoscopic scissors, we're able to carefully dissect out the neuroplakode and preserve any neural elements. After separating out the neuroplakode and the malformed spine from some of the surrounding tissue, you can see it pops down into a more normal position within the spinal cord. And once that's complete, we proceed with closure, and we try to do a multilayer closure to provide as much coverage and protection to the spinal cord as possible. So here, what we're doing is we're elevating and raising some of the muscles beside the spine to provide an extra barrier called the myofascial flap. This is a piece of dura repair, which we're using to reconstruct the fecal sac, and the myofascial flap is closed over top of this. Here you can see the myofascial flap is completed with complete coverage of our monomaniacal lesion. And you can see this, the skin is closed with a running suture. Here are some of our early results. In comparison to the MOMS trial, thus far we've had very similar gestational ages at delivery. One thing that's immediately apparent is the lower rate for cesarean section, and the other 13 patients were actually delivered vaginally, which was something that was not seen in the MOMS trial. We're still calculating our maternal risks, but thus far they've been comparable to what was seen in the MOMS trial. In terms of our infant results, we've seen very similar results in the MOMS trial as well. Of course, more data analysis is needed. However, what we've experienced is that we have had pretty comparable rates for the need for hydrocephalus treatment, as well as those improvements in motor outcomes. So in summary, fetal surgery for myelomeningocele has become an increasingly popular treatment modality worldwide. The results of the MOMS trial had demonstrated improved infant outcomes in terms of symptomatic hydrocephalus, as well as motor outcomes. However, this did come with risks to MOM. Currently, in the United States, USC is undergoing a phase one trial as a collaborative work that's assessing the safety and feasibility of fetoscopic surgery in the United States. And our early data thus far has been very encouraging. Thanks for watching. And this picture here is a picture of our first patient. And that patient is doing extremely well. They have not required treatment for hydrocephalus and are able to ambulate independently. And this is another picture of a patient here who's approximately six months old and has been doing quite well.",Spina Bifida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set()
N_MaRhpBo6A,"It's important to understand that not all families want to have fetal surgery because of the requirements and the commitments and the risks that are involved. Families may come to us, undergo the diagnostic testing, and the defect may not be a defect that is included in the criteria for the surgery. Even if a family is an ideal surgery candidate, this may not be the best thing for them. And it is our obligation to help them understand that that's alright, that that's okay, that that's their choice, that that is the right choice for them. For families that want the traditional approach of having surgery after birth but still want to deliver at our center because of our multidisciplinary experience and care, we follow them as well. We generally have them come back at monthly intervals so we can monitor growth and development of the baby to look for progression in the hydrocephaly and all the markers of complications. We generally deliver them at around 37 weeks. The mother usually has a cesarean section in the special delivery unit. Our goal is to deliver the baby without any additional trauma to the myelomeningocele sac and also not to rupture the sac but to deliver the myelomeningocele intact. The baby then is evaluated by a neonatal resuscitation team. We have special equipment ready so that we can do different positions knowing that that spinal cord is still exposed. The baby then goes to the NICU where all the multiple subspecialties come and evaluate the baby. Neurosurgery generally take the baby to the operating room within the first 24 to 48 hours of life and do the neurosurgical repair. The technical aspects are pretty much the same whether I do it prenatally or postnatally. I have the same layers, I do essentially the same operation. The beauty of our facility is that we have our own delivery suite right here in the children's hospital so mother and baby are in the same place. So mother delivers, we get to look at the baby, we close the back the next day, I can talk to the mother about how things went and she can hold the baby the next day.",Spina Bifida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set()
LHwQeNHc0TE,"We of course had the life plan, you know, pay off the student loans, house with the backyard, travel a bit, kids. Had a pretty good pregnancy the first 16 weeks and then they called us and said that the protein in the blood was elevated which is abnormal and that led us to eventually getting Jack's diagnosis and everything changed in that moment. Myelomeningocele is a birth defect that children have that about 80% of them or so are going to, in addition to having the issues associated with the spinal cord defect, will also develop hydrocephalus. The issue of hydrocephalus or water on the brain which is a lifetime problem, is a problem that requires management when it develops. It requires often multiple surgeries over a lifetime. The prenatal surgery eliminates that for a significant percentage of children. These kids are not coming back to the hospital as frequently with issues related to their hydrocephalus because they simply don't have it. The morning of the surgery we got up and I remember feeling fairly calm. I think that I was pretty comfortable and knew what to expect and we had met with everyone enough that I knew what the procedure was going to be and knew how it was going to go. I knew that they were going to stay in touch with Kevin. Remember they came in and they were ready to take me and they asked, do you want to walk in or do you want to go in a wheelchair? And I was like, I can still walk in. I want to walk in. Like, let's do this. I remember you walking away down that hallway. This isn't a neurosurgery program. This isn't an MFM program. This is a fetal care program. So the fetal care program is a multidisciplinary group that includes all the specialists that would interact with mom's care. To have a program where you can offer complex fetal surgery, it requires the presence and the infrastructure of a strong overall collaborative program. The objective of surgery is to close the myelomeningocele with as little or no scar tissue as possible and to recreate the layers that should have normally formed. And so it's to close the placode or the neural tissue into a tube and to close the dura or the covering of the spinal cord as it should have normally formed. Ideally to pull in fascia or connective tissue as it normally would be there and then to have the skin covering so that they don't need to be treated for hydrocephalus. And then Dr. Goodnight came out after the procedure was done and gave us an update and said everything went well and you were up resting in the recovery room and that we'd be able to come and see you. You know, overall you were, you were a trooper. We were well cared for. We had a good team. Even to this day when I tell people about Jack's diagnosis and what that means, it's not until you meet him that you can see beyond the diagnosis. Hi buddy. Okay, are you ready? Yeah. Hi buddy. I've been fortunate enough to do this long enough now that I've watched people graduate from high school, get married, have families, have jobs. I joke with them when they come to my clinic that I'm going to schedule extra visits so that they can just come see me and visit me in clinic because I love hearing how they're doing and how they're developing and you know how they're doing in school and things forward. He gives you the sweetest looks and the biggest smiles all the time and he's just, he's a really good boy and he's very resilient. He's really the opposite of the picture that was painted for us when we got his diagnosis in December. Every doctor we met with in the UNC fetal surgery team, they were so patient and they just took the time to make sure that we were very comfortable. Their optimism and hope really gave us optimism and hope.",Spina Bifida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set()
thsCL336k5k,"(cheerful music) - We're here today at our fourth annual Mott moms' camping trip in Gladwin. I was lucky enough to connect with the first six moms that had fetal surgery at Mott. - When I was on bed rest after the fetal surgery, I got connected with Erica, who happens to be the fetal surgery number two. We were number three. - It started out as just us fetal surgery moms, and then it's growing. - [Nicole Sandulowich] So through the Mott system, we've connected. - [Erica Hopp] And so we decided that we wanted our children to experience the community of having kids that had the same thing that they did, but they have a common bond and so we decided a camping trip would be fun. - When the doctors tell you the worst case scenarios, you get scared to death. Cruz is now a very happy, strong boy. He does everything independently. You just gotta look for the future. You've gotta be positive and know that it's not always the worst case scenario that comes out. - From the moment we got to Mott for our first appointment, we were blown away by the kindness and the professionalism that we had there. They were so pivotal in getting us to the point of, you know, when we got there to where we are now. Kids with spina bifida are resilient. They are stronger than any person I've ever known. I watched my son have spinal surgery and within four days' time, he's standing, he's walking, he's talking. - [Nicole Sandulowich] The kids are their own inspiration. I mean, they really, truly are. - [Teresa Hair] My biggest thing is just don't give up. Don't give up hope. These kids are invincible. They're amazing. It was a very scary journey, but I would do it again tomorrow.",Spina Bifida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set()
hwKXYIiUUmo,"I was going in for my ultrasound to find out the sex of the baby and they had found out one of my tests that came out positive, my blood test. So they sent me to a specialist, a terrible in general, to see exactly what was going on and then she found out the defect. So then they sent me here to find out more exactly about the defect. As part of prenatal testing you do what's called a quad screen and the quad screen actually will look to see if your baby is at risk for having a hole in the spine and it just so happens that her quad screen back is positive and it said, hey look closer at this baby's spine, there may be something going on with it. She just let us know that was a spinal defect and you know what can cause it and what we would be dealing with and then she told me that we would have to come here to really figure out you know exactly where it was and exactly what our outlook was. Spina bifida is a failure of the closure of the back, particularly of both the spine and the spinal cord to properly form in the first month after the baby is being developed. And when that happens it leads to a defect in the back and the spinal elements that actually stick out of the back often in a sac that can be nonfunctional and that can lead to problems with movement of the limbs below that level of impairment that can involve sensation impairment below the level. Use of the bowel or the bladder properly is difficult due to those and there's also an association with hydrocephalus or fluid in the brain that accumulates due to that abnormality. Back in 1997 was the first procedure where they actually were, where someone took the chance of saying let's open up the uterus, let's close this defect and let's see if we can't keep these outcomes from happening or can we make better outcomes. Between 1997 and 2003 there was about 200 of these cases done across the nation and people were saying hey we're getting better outcomes with these babies than we are if we left them alone. And there was a lot of debate about well is it really worth the risk to the maternal health, is it really worth the risk to the fetal health, this is a dangerous thing to do, some of the medicines you're doing are very dangerous for the pregnancy, is this really the right thing to do? And so what happened was back in 2003 the NIH supported a study what they called the MOMS trial. All the pediatric surgeons got together and said we are not going to offer this until we kind of get an idea if this makes a difference or not. And so that was actually published in 2011 in the New England Journal of Medicine and that's the study that really kind of got us fired up here is because it actually showed that there are better outcomes. We're able to make these babies do better with this in utero procedure and so me and Dr. Bui had got together and said listen this is something that we need to offer in the region. I think we have enough volume of these babies that we see in my clinic to make this technique that we can offer here at Oster. So we're able to actually have a window up in the uterus and then be able to bring just the babies back through. So once we're able to get to the defect then the night takeover and under high magnification we actually do the repair. The good thing about Oster is that we have pediatric neurosurgeons, we have a pediatric cardiologist, we have a high risk pregnancy doctor, we have high risk anesthesia. We've got everything that we need here. The team was well prepared and that gave me a lot of confidence that we would be able to pull it off without any problem. We've been fortunate so far none of those children as of yet have required a shunt to be placed for hydrocephalus. They're doing very well with their growth. They do still continue to have some bowel and bladder problems but they're very manageable and they have had less overall orthopedic and neurologic impairment because of the surgery than they likely would have otherwise had. I think it's definitely a landmark procedure for Oster but it's also a landmark procedure for the state. I think this is a first in the state if not the region. Currently there are less than 10 programs in the country and that's because it does require quite a bit of expertise. I think that this really does highlight what Oster does well which is to bring together a lot of high end specialists into one area. His name is Kobe Damian Boudreau. He weighed four pounds and twelve ounces when he was born and that's 17 inches and a half long. Pretty much after the surgery his outcome is pretty much good. He's moving his legs like he should and his ultrasound of his brain came out fine and his incision looks good. He's doing pretty good. So this doesn't look very dissimilar from just a normal baby without spina bifida at this point. That's good. Okay so I think that you know the at least right now I don't have any real concern for a shunt and as far as the back and whether there's any leakage or breakdown of the wound the back looks about as good as we can hope for. I think that's you know because the baby had all that time of year within the belly. You had the absolute best result that we could have a whole family. Very, very happy about it. Yeah so well we'd get them. Oster has always been on the forefront in a number of areas of trying to do things that are game changers, really make a difference for the patient and this is one of those instances where you really are making a difference for the patient and over the years there have been some of those in adults and some of those in children and this is one that is really going to be a great advance for children. Now that he's here and we've gone through everything I'm very, very happy that we went ahead and did it because his outcome does look a lot better than what it would have been if we didn't do the surgery so I'm very happy about that. You know the difference for a family having a wheelchair bound kid versus a kid that can you know that can walk that's what makes it worth it is the ability to really change one's kids whole entire life with an operation early on.",Spina Bifida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set()
dSjzCM4-6Y0,"Fetal surgery is about trying to save the lives or improve the lives of children by doing something before birth. It sounds like a crazy idea, operating inside the womb, but it's actually 30-years-old now and we've been doing it a long time. Spina bifida is a birth defect where the spinal cord and the spine don't form normally before birth. It fails to close. And because of that, that spinal cord is exposed to the elements in utero and then in theory, after birth. In the old days, we just took care of that problem after birth and protected the spinal cord, closed up the skin so that children would not get infected. They wouldn't get meningitis, an infection in the spinal cord, but we never had the expectation that it would improve their paralysis. We just assumed that paralysis was part of the problem of spina bifida. But we started to learn through the advent of ultrasound and by doing some studies in mice and things like that, that it appeared that the spinal cord, even though it was exposed was normal when it was formed. And it just seemed to lose function during gestation, that it was the trauma in utero. The exposure to amniotic fluid, just bumping up against the uterine wall that actually damaged the spinal cord. So, gosh, almost 20 years ago now, we asked the question, if we operated before birth, could that make the outcomes better? That's a study that was called the MOMS Trial. And interestingly, that was just finishing at the time I came to UC Davis. And what we discovered was that if you operated before birth, if you did fetal surgery, that in fact, those children did have a better outcome. I mean, this was miraculous. For the first time, the babies had some improvement in the ability to move their legs and it appeared that the spinal cord was somewhat improved. And I thought, ""If we can get some improvement, maybe we can get more improvement."" We looked at different kinds of cells. iPS cells were popular at the time, but we finally settled on mesenchymal stem cells from the placenta. We collaborated with Jan Nolta's group in the Institute for Regenerative Cures here at UC Davis, got advice and assistance from her. And then we took these special cells from the placenta, cultured them in a unique way that allowed these cells to secrete what I like to call ""magic stem cell juice."" We don't know exactly how it works, but we certainly know that it secretes lots of important growth factors for the spinal cord. We used a patch that is already approved by the FDA to repair problems either in the spinal cord or the brain when they need an extra layer to sort of close up what we call the dura, the lining of the central nervous system of the brain and the spinal cord. And we thought, ""Well, let's see if our cells can grow on this already FDA approved ""dural patch."" And not only did they grow, they seem to love it, but it's the same repair that was done for the big national trial. But this time we'll use a repair that includes this patch with cells on it. The reason it's important to do it almost exactly the same way it was done before is so that we can compare the results in a similarly rigorous fashion. So that we know it's really the cells that are making a difference.",Spina Bifida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set()
jpFLPfsUr1c,"Heather Jovanola, MD My name is Heather Jovanola. Brian Jovanola, MD And I'm Brian Jovanola. Our son Thomas is three and a half. Heather Jovanola, MD Thomas is our first son. So he was my first pregnancy. We did all the normal testing that you thought they would do. All my test results came back perfectly normal. And then when we went in at 21 weeks for our mid-pregnancy ultrasound, that was the first time that we saw that there was something wrong. That there was, you know, developmentally they were seeing some signs in his head and some signs on his back that he had this diagnosis of spina bifida that we had never heard of before. Dr. Heather Jovanola, MD For a young couple, finding out that they have a fetus with a problem is one of the most devastating things that can ever happen. One of the reasons that we fetal surgeons wanted to attack the problem of spina bifida is that spina bifida results in lifelong disability. A child is born with this disease and has it for life. And there's very little that's been able to be done after birth to improve the outcomes of these children. Brian Jovanola, MD And in the past, the surgical treatment for that has simply been to repair the defect which is in the lower back. And it mainly is a way to protect the skin, protect the nervous system, but not as a way to try to improve any of the disability that the patients have. Dr. Heather Jovanola, MD What the doctors at UCSF made sure we knew was that this was a huge risk to me as a mother. So the baby has to have the surgery at some point to close up his back, but he doesn't have to have it right now. On the other hand, UCSF is very good at this. We pioneered prenatal surgery. So that was very comforting going in, even though we knew this is a big deal. It was a long day. And finally the doctor came walking out, big smile, said, your son has a really cute butt. And so we kind of knew everything was okay when he was joking around. It was a big relief. I think for mothers who have a fetus diagnosis of spina bifida, I think it becomes an extremely important consideration and a very compelling case to be made to consider a fetal surgery very seriously. Another thing he'll do, and we love to have him do it, is when he comes grocery shopping with me, he wants to walk around and see all the things that are right at his eye level. He wants to grab things off the shelf and put them in the cart. So we let him do that. And he can handle walking for an hour and a half in the grocery store because it's so much fun for him to have the freedom to move around and see whatever he wants to see. And that really makes us feel good that the choices we've made and him being able to have the surgery have on some level allowed him to be that mobile instead of in a wheelchair.",Spina Bifida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set()
Yh47aMX-_9M,"So myelomeningocele is the most common form of spina bifida and it results from lack of closure of the primitive spinal cord which is the neural tube in the fetus at the bottom end and so the spinal cord and nerve roots and covering layers of the spinal cord are fused to the skin and muscle and it leaks spinal fluid out and leads to other complications over time including a Chiari malformation and subsequent hydrocephalus or the build-up of spinal fluid in the head and patients who undergo postnatal closure have an approximate 80% risk of hydrocephalus requiring placement of a ventricular peritoneal shunt which is an implanted device. Unfortunately shunts are associated with a lot of morbidity and complications during childhood and life for children with spina bifida and myelomeningocele. So why do we do this in utero? For generations this repair has been done postnatally but as pediatric surgeons and neurosurgeons what we found is that over time the dye is already cast by the time the baby is born. Obstetricians have noticed for several years now that they've been able to see many of these fetuses moving their legs in utero but by the time they're born they're no longer able to move their legs and they're paralyzed. So it was thought really that there's some ongoing injury that occurs during the pregnancy. The goal of doing this operation early before birth is to try to improve the function of the baby, to improve their leg strength and perhaps their bowel and bladder function and also importantly to minimize their risk of developing hydrocephalus that conditioned fluid on the brain. And when they do develop hydrocephalus and they need a shunt those shunts unfortunately don't work perfectly and they lead to all kinds of complications and it turns out that by doing this operation before birth it seems to cut that shunt rate in half and so we're very optimistic that we can have that same result for this infant. The patient is Naomi, she's 23 years old and this is essentially her first pregnancy to this point and the baby is around 25 weeks gestation, remembering of course that a normal pregnancy gestation is around 40 weeks so we're just a little tiny bit over halfway in the pregnancy. The baby has an open spinal defect called a spina bifida and the object of the surgery today is to close that lesion for a number of reasons. The leakage of the fluid out of this open lesion does two things at least that we know of. One is to expose the nerves to the amniotic fluid and two is to allow the leaking of fluid such that the cerebellum at the base of the brain can undergo pressure, this is called a Chiari 2 malformation and that kind of pressure on the intracranial structures can result both in issues with the cerebellum and with the ventricles of the brain so the baby's ventricles can become dilated. So by closing this lesion we're hoping to prevent ongoing injury and hopefully preserve neurologic function and in even some cases we believe it's possible to regain some neurologic function. It's a rather tricky operation that we did today. It's open fetal surgery so the mother is asleep under a very deep anesthetic. We have to then perform a C-section type incision on the mother to open up her tummy and to expose the uterus and then we have to open the uterus. This is the pregnant uterus that's filled with amniotic fluid so we have to open that up and the amniotic fluid will come out and then we expose this spina bifida deformity in the fetus and then the neurosurgeons Dr. Bolo and Jay today came in and did that repair of that spina bifida defect and then very importantly we then have to close that uterus up with stitches and keep it pregnant and keep the baby inside the uterus and we have to have it so it doesn't leak that amniotic fluid and that the pregnancy can continue and that's where this becomes pretty tricky and pretty difficult. Well so far the operation went perfectly today. We were able to open the uterus very nicely, expose the deformity in the fetus, the spina bifida repair seemed to go very smoothly and we were able to get that uterus closed up very nicely and so far mom and baby are recovering very well. I don't see any signs of labor. The uterus seems to be snugly closed and the mother is now recovering from the anesthesia and she's doing very well. It was really a multidisciplinary total force with all the different disciplines present everybody worked well seamlessly perfectly, it was a well choreographed perfectly executed surgical procedure. It's not often that surgeons use the palliatives but this is actually one of those times that I think it's rightfully deserved.",Spina Bifida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set()
